Name	Name	Site	Depth
ASCC_17	ASCC17_T4A_3_0923_SJ_1C_15	SJ	5_15cm
ASCC_170	ASCC170_12_82_0923_TP_1C_OM	TP	OM
ASCC_171	ASCC171_3_16_0923_TP_1C_OM	TP	OM
ASCC_172	ASCC172_11_72_0923_TP_1C_OM	TP	OM
ASCC_173	ASCC173_5_33_0923_TP_1C_OM	TP	OM
ASCC_174	ASCC174_3_15_0923_TP_1C_OM	TP	OM
ASCC_175	ASCC175_10_67_0923_TP_1C_OM	TP	OM
ASCC_177	ASCC177_14_94_0923_TP_1C_OM	TP	OM
ASCC_178	ASCC178_4_26_0923_TP_1C_OM	TP	OM
ASCC_179	ASCC179_16_110_0923_TP_1C_OM	TP	OM
ASCC_18	ASCC18_C3_5_0923_SJ_1C_15	SJ	5_15cm
ASCC_180	ASCC180_7_43_0923_TP_1C_OM	TP	OM
ASCC_181	ASCC181_11_73_0923_TP_1C_OM	TP	OM
ASCC_182	ASCC182_1_4_0923_TP_1C_OM	TP	OM
ASCC_183	ASCC183_4_24_0923_TP_1C_OM	TP	OM
ASCC_184	ASCC184_6_39_0923_TP_1C_OM	TP	OM
ASCC_185	ASCC185_15_101_0923_TP_1C_OM	TP	OM
ASCC_186	ASCC186_9_60_0923_TP_1C_OM	TP	OM
ASCC_189	ASCC189_13_87_0923_TP_1C_OM	TP	OM
ASCC_19	ASCC19_T2B_2_0923_SJ_1C_15	SJ	5_15cm
ASCC_190	ASCC190_16_111_0923_SJ_1C_OM	SJ	OM
ASCC_191	ASCC191_T3B_2_0923_SJ_1C_OM	SJ	OM
ASCC_192	ASCC192_T2A_4_0923_SJ_1C_OM	SJ	OM
ASCC_194	ASCC194_C1_5_0923_SJ_1C_OM	SJ	OM
ASCC_196	ASCC196_T1B_3_0923_SJ_1C_OM	SJ	OM
ASCC_198	ASCC198_T1C_6_0923_SJ_1C_OM	SJ	OM
ASCC_2	ASCC2_T1A_6_0923_SJ_1C_15	SJ	5_15cm
ASCC_20	ASCC20_T3A_6_0923_SJ_1C_5	SJ	0_5cm
ASCC_201	ASCC201_T2B_4_0923_SJ_1C_OM	SJ	OM
ASCC_202	ASCC202_C4_6_0923_SJ_1C_OM	SJ	OM
ASCC_203	ASCC203_C3_4_0923_SJ_1C_OM	SJ	OM
ASCC_204	ASCC204_T4A_4_0923_SJ_1C_OM	SJ	OM
ASCC_205	ASCC205_C2_5_0923_SJ_1C_OM	SJ	OM
ASCC_206	ASCC206_T4B_4_0923_SJ_1C_OM	SJ	OM
ASCC_207	ASCC207_T3A_6_0923_SJ_1C_OM	SJ	OM
ASCC_208	ASCC208_T1A_6_0923_SJ_1C_OM	SJ	OM
ASCC_209	ASCD209_T3A_5_0923_SJ_1C_OM	SJ	OM
ASCC_21	ASCC21_T2C_3_0923_SJ_1C_15	SJ	5_15cm
ASCC_210	ASCC210_T2C_7_0923_SJ_1C_OM	SJ	OM
ASCC_211	ASCC211_C4_4_0923_SJ_1C_OM	SJ	OM
ASCC_212	ASCC212_T4C_6_0923_SJ_1C_OM	SJ	OM
ASCC_213	ASCC213_T3A_4_0923_SJ_1C_OM	SJ	OM
ASCC_214	ASCC214_C1_4_0923_SJ_1C_OM	SJ	OM
ASCC_215	ASCC215_T4A_6_0923_SJ_1C_OM	SJ	OM
ASCC_216	ASCC216_T4B_5_0923_SJ_1C_OM	SJ	OM
ASCC_217	ASCC217_T3B_5_0923_SJ_1C_OM	SJ	OM
ASCC_218	ASCC218_T1A_3_0923_SJ_1C_OM	SJ	OM
ASCC_219	ASCC219_T4A_3_0923_SJ_1C_OM	SJ	OM
ASCC_22	ASCC22_T3B_5_0923_SJ_1C_15	SJ	5_15cm
ASCC_220	ASCC220_T1A_2_0923_SJ_1C_OM	SJ	OM
ASCC_221	ASCC221_C4_3_0923_SJ_1C_OM	SJ	OM
ASCC_222	ASCC222_T1A_2_0923_SJ_1C_OM	SJ	OM
ASCC_223	ASCC223_C2_4_0923_SJ_1C_OM	SJ	OM
ASCC_224	ASCC224_C3_5_0923_SJ_1C_OM	SJ	OM
ASCC_225	ASCC225_T1C_4_0923_SJ_1C_OM	SJ	OM
ASCC_226	ASCC226_T2C_5_0923_SJ_1C_OM	SJ	OM
ASCC_227	ASCC227_TB3_3_0923_SJ_1C_OM	SJ	OM
ASCC_228	ASCC228_T4B_3_0923_SJ_1C_OM	SJ	OM
ASCC_229	ASCC229_C3_3_0923_SJ_1C_OM	SJ	OM
ASCC_23	ASCC23_C4_4_0923_SJ_1C_15	SJ	5_15cm
ASCC_230	ASCC230_T2B_3_0923_SJ_1C_OM	SJ	OM
ASCC_231	ASCC231_T2A_3_0923_SJ_1C_OM	SJ	OM
ASCC_232	ASCC232_T2A_5_0923_SJ_1C_OM	SJ	OM
ASCC_233	ASCC233_T3C_4_0923_SJ_1C_OM	SJ	OM
ASCC_234	ASCC234_T4C_5_0923_SJ_1C_OM	SJ	OM
ASCC_235	ASCC235_C1_5_0923_SJ_1C_OM	SJ	OM
ASCC_236	ASCC236_T4C_4_0923_SJ_1C_OM	SJ	OM
ASCC_237	ASCC237_T1B_5_0923_SJ_1C_OM	SJ	OM
ASCC_238	ASCC238_112_0823_SF_1C_OM	SF	OM
ASCC_239	ASCC239_T2B_6_0923_SJ_1C_OM	SJ	OM
ASCC_24	ASCC24_T3B_3_0923_SJ_1C_5	SJ	0_5cm
ASCC_240	ASCC240_T3C_5_0923_SJ_1C_OM	SJ	OM
ASCC_241	ASCC241_T1B_4_0923_SJ_1C_OM	SJ	OM
ASCC_242	ASCC242_T1C_3_0923_SJ_1C_OM	SJ	OM
ASCC_243	ASCC243_T2C_3_0923_SJ_1C_OM	SJ	OM
ASCC_244	ASCC244_T3C_3_0923_SJ_1C_OM	SJ	OM
ASCC_245	ASCC245_76_0823_SF_1C_OM	SF	OM
ASCC_246	ASCC246_32_0823_SF_1C_OM	SF	OM
ASCC_247	ASCC247_151_0823_SF_1C_OM	SF	OM
ASCC_25	ASCC25_T3C_3_0923_SJ_1C_5	SJ	0_5cm
ASCC_250	ASCC250_55_SF_0823_1C_OM	SF	OM
ASCC_251	ASCC251_5_0823_SF_1C_OM	SF	OM
ASCC_252	ASCC252_84_0823_SF_1C_OM	SF	OM
ASCC_255	ASCC255_62_0823_SF_1C_OM	SF	OM
ASCC_256	ASCC256_168_0823_SF_1C_OM	SF	OM
ASCC_257	ASCC257_75_0823_SF_1C_OM	SF	OM
ASCC_258	ASCC258_57_0823_SF_1C_OM	SF	OM
ASCC_259	ASCC259_37_0823_SF_1C_OM	SF	OM
ASCC_26	ASCC26_C4_6_0923_SJ_1C_15	SJ	5_15cm
ASCC_263	ASCC263_122_0823_SF_1C_OM	SF	OM
ASCC_264	ASCC264_101_0823_SF_1C_OM	SF	OM
ASCC_266	ASCC266_139_0823_SF_1C_OM	SF	OM
ASCC_267	ASCC267_26_0823_SF_1C_OM	SF	OM
ASCC_268	ASCC268_27_0823_SF_1C_OM	SF	OM
ASCC_269	ASCC269_162_0823_SF_1C_OM	SF	OM
ASCC_27	ASCC27_T1A_3_0923_SJ_1C_5	SJ	0_5cm
ASCC_270	ASCC270_138_0823_SF_1C_OM	SF	OM
ASCC_272	ASCC272_43_0823_SF_1C_OM	SF	OM
ASCC_273	ASCC273_112_0823_SF_1C_OM	SF	OM
ASCC_274	ASCC274_40_0823_SF_1C_OM	SF	OM
ASCC_275	ASCC275_125_0823_SF_1C_OM	SF	OM
ASCC_277	ASCC277_57_0823_SF_1C_5	SF	0_5cm
ASCC_278	ASCC278_85_0823_SF_1C_15	SF	5_15cm
ASCC_279	ASCC279_168_0823_SF_1C_15	SF	5_15cm
ASCC_28	ASCC28_C1_5_0923_SJ_1C_15	SJ	5_15cm
ASCC_280	ASCC280_37_0823_SF_1C_15	SF	5_15cm
ASCC_281	ASCC281_103_0823_SF_1C_5	SF	0_5cm
ASCC_282	ASCC282_154_0823_SF_1C_15	SF	5_15cm
ASCC_284	ASCC284_154_0823_SF_1C_5	SF	0_5cm
ASCC_286	ASCC286_162_0823_SF_1C_5	SF	0_5cm
ASCC_288	ASCC288_8_0823_SF_1C_OM	SF	OM
ASCC_289	ASCC289_114_0823_SF_1C_15	SF	5_15cm
ASCC_29	ASCC29_C3_3_0923_SJ_1C_15	SJ	5_15cm
ASCC_290	ASCC290_101_0823_SF_1C_5	SF	0_5cm
ASCC_291	ASCC291_84_0823_SF_1C_15	SF	5_15cm
ASCC_292	ASCC292_55_0823_SF_1C_5	SF	0_5cm
ASCC_293	ASCC293_62_0823_SF_1C_5	SF	0_5cm
ASCC_295	ASCC295_26_0823_SF_1C_5	SF	0_5cm
ASCC_296	ASCC296_122_0823_SF_1C_5	SF	0_5cm
ASCC_297	ASCC297_64_0823_SF_1C_15	SF	5_15cm
ASCC_298	ASCC298_76_0823_SF_1C_5	SF	0_5cm
ASCC_299	ASCC299_5_0823_SF_1C_5	SF	0_5cm
ASCC_3	ASCC3_T4A_5_0923_SJ_1C_5	SJ	0_5cm
ASCC_30	ASCC30_T1A_2_0923_SJ_1C_15	SJ	5_15cm
ASCC_300	ASCC300_32_0823_SF_1C_15	SF	5_15cm
ASCC_301	ASCC301_16_0823_SF_1C_15	SF	5_15cm
ASCC_302	ASCC302_151_0823_SF_1C_5	SF	0_5cm
ASCC_303	ASCC303_43_0823_SF_1C_5	SF	0_5cm
ASCC_304	ASCC304_8_0823_SF_1C_5	SF	0_5cm
ASCC_305	ASCC305_38_0823_SF_1C_5	SF	0_5cm
ASCC_306	ASCC306_8_0823_SF_1C_15	SF	5_15cm
ASCC_307	ASCC307_125_0823_SF_1C_5	SF	0_5cm
ASCC_308	ASCC308_64_0823_SF_1C_5	SF	0_5cm
ASCC_309	ASCC309_26_0823_SF_1C_15	SF	5_15cm
ASCC_31	ASCC31_T4B_5_0923_SJ_1C_5	SJ	0_5cm
ASCC_310	ASCC310_122_0823_SF_1C_15	SF	5_15cm
ASCC_311	ASCC311_103_0823_SF_1C_15	SF	5_15cm
ASCC_312	ASCC312_27_0823_SF_1C_5	SF	0_5cm
ASCC_313	ASCC313_55_0823_SF_1C_15	SF	5_15cm
ASCC_314	ASCC314_151_0823_SF_1C_15	SF	5_15cm
ASCC_315	ASCC315_75_0823_SF_1C_15	SF	5_15cm
ASCC_317	ASCC317_101_0823_SF_1C_15	SF	5_15cm
ASCC_318	ASCC318_162_0823_SF_1C_15	SF	5_15cm
ASCC_319	ASCC319_37_0823_SF_1C_5	SF	0_5cm
ASCC_32	ASCC32_C3_5_0923_SJ_1C_15	SJ	5_15cm
ASCC_320	ASCC320_32_0823_SF_1C_5	SF	0_5cm
ASCC_321	ASCC321_62_0823_SF_1C_15	SF	5_15cm
ASCC_322	ASCC322_13_0823_SF_1C_5	SF	0_5cm
ASCC_323	ASCC323_125_0823_SF_1C_15	SF	5_15cm
ASCC_324	ASCC324_112_0823_SF_1C_15	SF	5_15cm
ASCC_325	ASCC325_84_0823_SF_1C_5	SF	0_5cm
ASCC_326	ASCC326_57_0823_SF_1C_15	SF	5_15cm
ASCC_327	ASCC327_13_0823_SF_1C_15	SF	5_15cm
ASCC_328	ASCC328_168_0823_SF_1C_5	SF	0_5cm
ASCC_329	ASCC329_85_0823_SF_1C_5	SF	0_5cm
ASCC_33	ASCC33_T2C_7_0923_SJ_1C_5	SJ	0_5cm
ASCC_330	ASCC330_16_0823_SF_1C_5	SF	0_5cm
ASCC_331	ASCC331_5_0823_SF_1C_5	SF	0_5cm
ASCC_332	ASCC332_27_0823_SF_1C_15	SF	5_15cm
ASCC_333	ASCC333_40_0823_SF_1C_5	SF	0_5cm
ASCC_334	ASCC334_75_0823_SF_1C_5	SF	0_5cm
ASCC_336	ASCC336_40_0823_SF_1C_15	SF	5_15cm
ASCC_337	ASCC337_43_0823_SF_1C_15	SF	5_15cm
ASCC_35	ASCC35_T4C_6_0923_SJ_1C_5	SJ	0_5cm
ASCC_38	ASCC38_T1B_5_0923_SJ_1_C_15	SJ	5_15cm
ASCC_39	ASCC39_T3A_5_0923_SJ_1C_5	SJ	0_5cm
ASCC_4	ASCC4_T2B_4_0923_SJ_1C_15	SJ	5_15cm
ASCC_40	ASCC40_T3A_4_0923_SJ_1C_15	SJ	5_15cm
ASCC_41	ASCC41_TC3_5_0923_SJ_1C_15	SJ	5_15cm
ASCC_42	ASCC42_T3C_3_0923_SJ_1C_15	SJ	5_15cm
ASCC_43	ASCC43_T1C_3_0923_SJ_1C_15	SJ	5_15cm
ASCC_44	ASCC44_C4_3_0923_SJ_1C_15	SJ	5_15cm
ASCC_45	ASCC45_T3B_2_0923_SJ_1C_5	SJ	0_5cm
ASCC_46	ASCC46_C4_6_0923_SJ_1C_5	SJ	0_5cm
ASCC_47	ASCC47_T3C_5_0923_SJ_1C_5	SJ	0_5cm
ASCC_48	ASCC48_T4A_4_0923_SJ_1C_15	SJ	5_15cm
ASCC_49	ASCC49_T4A_3_0923_SJ_1C_5	SJ	0_5cm
ASCC_5	ASCC5_C2_2_0923_SJ_1C_15	SJ	5_15cm
ASCC_50	ASCC50_C3_4_0923_SJ_1C_15	SJ	5_15cm
ASCC_51	ASCC51_T2B_3_0923_SJ_1C_5	SJ	0_5cm
ASCC_52	ASCC52_T4A_6_0923_SJ_1C_15	SJ	5_15cm
ASCC_53	ASCC53_T3B_5_0923_SJ_1C_5	SJ	0_5cm
ASCC_56	ASCC56_C2_2_0923_SJ_1C_5	SJ	0_5cm
ASCC_57	ASCC57_T1C_6_0923_SJ_1C_5	SJ	0_5cm
ASCC_58	ASCC58_T1C_4_0923_SJ_1C_15	SJ	5_15cm
ASCC_59	ASCC59_T4C_6_0923_SJ_1C_15	SJ	5_15cm
ASCC_6	ASCC6_T4C_6_0923_SJ_1C_5	SJ	0_5cm
ASCC_60	ASCC60_T4C_4_0923_SJ_1C_15	SJ	5_15cm
ASCC_61	ASCC61_T4C_4_0923_SJ_1C_5	SJ	0_5cm
ASCC_62	ASCC62_T3C_4_0923_SJ_1C_15	SJ	5_15cm
ASCC_64	ASCC64_T2A_3_0923_SJ_1C_15	SJ	5_15cm
ASCC_65	ASCC65_T2A_5_0923_SJ_1C_15	SJ	5_15cm
ASCC_66	ASCC66_T3B_2_0923_SJ_1C_15	SJ	5_15cm
ASCC_67	ASCC67_T2A_4_0923_SJ_1C_15	SJ	5_15cm
ASCC_68	ASCC68_T4C_5_0923_SJ_1C_15	SJ	5_15cm
ASCC_69	ASCC69_C2_5_0923_SJ_1C_5	SJ	0_5cm
ASCC_7	ASCC7_T1C_4_0923_SJ_1C_5	SJ	0_5cm
ASCC_70	ASCC70_T4B_4_0923_SJ_1C_15	SJ	5_15cm
ASCC_71	ASCC71_T1B_3_0923_SJ_1C_15	SJ	5_15cm
ASCC_72	ASCC72_T4C_5_0923_SJ_1C_5	SJ	0_5cm
ASCC_74	ASCC74_C1_4_0923_SJ_1C_5	SJ	0_5cm
ASCC_75	ASCC75_T2B_6_0923_SJ_1C_5	SJ	0_5cm
ASCC_76	ASCC76_C1_2_0923_SJ_1C_15	SJ	5_15cm
ASCC_77	ASCC_77_C4_4_0923_SJ_1C_5	SJ	0_5cm
ASCC_78	ASCC78_C4_3_0923_SJ_1C_5	SJ	0_5cm
ASCC_79	ASCC79_T2A_3_0923_SJ_1C_5	SJ	0_5cm
ASCC_8	ASCC8_C3_4_0923_SJ_1C_5	SJ	0_5cm
ASCC_80	ASCC80_T4B_4_0923_SJ_1C_5	SJ	0_5cm
ASCC_81	ASCC81_T3A_5_0923_SJ_1C_15	SJ	5_15cm
ASCC_82	ASCC82_T2C_5_0923_SJ_1C_15	SJ	5_15cm
ASCC_83	ASCC83_T4B_4_0923_SJ_1C_5	SJ	0_5cm
ASCC_84	ASCC84_C1_4_0923_SJ_1C_15	SJ	5_15cm
ASCC_85	ASCC85_C3_3_0923_SJ_1C_15	SJ	5_15cm
ASCC_86	ASCC86_T1A_3_0923_SJ_1C_15	SJ	5_15cm
ASCC_87	ASCC87_T4B_5_0923_SJ_1C_15	SJ	5_15cm
ASCC_88	ASCC88_T1A_2_0923_SJ_1C_5	SJ	0_5cm
ASCC_89	ASCC89_T2C_7_0923_SJ_1C_15	SJ	5_15cm
ASCC_9	ASCC9_T2C_5_0923_SJ_1C_5	SJ	0_5cm
ASCC_90	ASCC90_T1B_4_0923_SJ_1C_5	SJ	0_5cm
ASCC_91	ASCC91_T1B_4_0923_SJ_1C_15	SJ	5_15cm
ASCC_92	ASCC92_T1C_6_0923_SJ_1C_15	SJ	5_15cm
ASCC_93	ASCC93_T4B_3_0923_SJ_1C_5	SJ	0_5cm
ASCC_94	ASCC94_T4B_3_0923_SJ_1C_15	SJ	5_15cm
ASCC_85	ASCC85_14_97_0923_TP_1C_15	TP	5_15cm
ASCC_96	ASCC96_16_111_0923_TP_1C_5	TP	0_5cm
ASCC_98	ASCC98_16_110_0923_TP_1C_15	TP	5_15cm
ASCC_99	ASCC99_10_68_0923_TP_1C_15	TP	5_15cm
