ASV	Class	Core	Relative_Abundance	Ash	Charred_Org_C	Mineral	Control_Mineral
9f0ce89d651d9c6cc62ed39685a6b5a1	Acidimicrobiia	None	2.85E-06	0	0	0	100
83d3045d572ac77e3cb5eda3d44f79f1	Bacteroidia	None	1.35E-05	0	0	0	100
c9072d72f56e9301c95897515822e795	Bacilli	None	0.00329133	0	0	100	0
d429739e4906728bd78af629bcdd405d	Alphaproteobacteria	None	2.85E-06	0	0	100	0
e3b27014eb549f7cad4db45abaa414e1	Planctomycetes	None	9.25E-05	0	0	0	100
5f721b0af0bafd1ff21eb1c6140c4d0f	Verrucomicrobiae	None	8.40E-05	0	0	7.627118644	92.37288136
7da448d578b492251d506860a834fe27	Gammaproteobacteria	None	6.40E-06	0	0	0	100
b2f09d676307d89535bd775c9d5982ac	Alphaproteobacteria	None	9.75E-05	100	0	0	0
f42bf6269bf73ab69ad6ebb2ac264121	Verrucomicrobiae	None	1.14E-05	0	0	0	100
868e0165fe32a8925b7f20afa5e1dbfc	Gammaproteobacteria	None	4.63E-05	0	0	100	0
e1b93a9626be50310bf82770ab056a06	Verrucomicrobiae	None	3.77E-05	0	0	0	100
0a6e741101f076e347d324e24dd8b0a1	Bacteroidia	None	4.98E-06	0	100	0	0
71b378f1a0e3631593ee1247489b98ea	Verrucomicrobiae	None	7.12E-06	0	0	0	100
44ff9edea10ba7f57c486c9ff368bc35	Verrucomicrobiae	None	9.96E-06	0	0	0	100
0a13a7f4fa3c17f40a8ac360453fc6a0	Bacteroidia	None	5.12E-05	0	44.44444444	55.55555556	0
d74f89cc2d72997c94973930247df236	Gammaproteobacteria	None	4.98E-06	0	0	0	100
7c88259ec1fb32f29f190a9d441f7a24	Planctomycetes	None	5.05E-05	0	0	77.46478873	22.53521127
5c378d4bad34aa7956bb0706efba09ca	Planctomycetes	None	3.27E-05	0	100	0	0
015b1ba5c74bb1a9ffc343b0b59773d8	Gammaproteobacteria	None	9.25E-06	0	0	0	100
519a1f3a49d73a2ed4cef9edbdfc54e4	Bacteroidia	None	4.27E-06	0	0	0	100
c1e17da972f89bef3ddcfecc7976cefd	Planctomycetes	None	2.63E-05	0	0	100	0
ab721876cc7159bf0ada0ccfb2a8bbdf	Gammaproteobacteria	None	7.83E-06	0	0	0	100
6e4b50a611f333bfb12f3b9a4a9e8b61	Blastocatellia	None	1.78E-05	0	0	0	100
47e4a432940c37fb1c921e9291feb318	Bacilli	None	7.83E-06	0	0	100	0
681906c8e55d9c104ecba7199320bbc9	Verrucomicrobiae	None	5.69E-06	0	0	100	0
4e36cb286d8891dd10f254925fc7dec0	Bacteroidia	None	0.000204952	0	76.04166667	23.95833333	0
401492f142bb4066da713a54742ecc92	Verrucomicrobiae	None	2.85E-06	0	0	0	100
3ad388f357b549bfad0ab81e7f9b4b2b	Verrucomicrobiae	None	8.04E-05	0	0	0	100
7d9fdc634c320a48ae600cf3887834a8	Verrucomicrobiae	None	1.71E-05	0	0	0	100
a57fd588a5523e27cd9d68c484bb940e	Bacilli	None	0.000584967	0	0	100	0
0d197b0ccf709e093995833028de72cd	Bacteroidia	None	0.001195553	0	57.02380952	42.97619048	0
95e33b2b1b03dca3bdf433dc8fc06591	Planctomycetes	None	3.56E-06	0	0	0	100
50239406a2ff3bebf9e02529846d593d	Gammaproteobacteria	None	0.000249074	0	100	0	0
514eb1566e532afc0a6e83315443edbb	Planctomycetes	None	2.13E-06	0	0	100	0
6cc9ad4314a180262cee240a539611c4	Alphaproteobacteria	None	7.26E-05	100	0	0	0
7827d172fdf2185978863eb87542dd41	Verrucomicrobiae	None	0.000142328	0	11	19.5	69.5
12d23d81425478e4b53b6ef3b6820d0b	Verrucomicrobiae	None	4.27E-06	0	100	0	0
340787db8b31a7fbd3cf7bc22ee5094d	Bacteroidia	None	1.42E-05	0	0	0	100
cf8adf916da693a263a321b21762a8f2	Verrucomicrobiae	None	6.40E-06	0	0	0	100
6994eba1a5f98053fc42c3ea69da85f3	Alphaproteobacteria	None	1.64E-05	0	0	0	100
65c53106fe47dec9cec166303481543d	Gammaproteobacteria	None	3.56E-06	0	0	0	100
049d5068bba9c27a63e6027405bd1e54	Gammaproteobacteria	None	1.57E-05	0	0	0	100
3ec7c83c1d95a9c48e02258269deb42e	Gammaproteobacteria	None	4.98E-06	0	0	0	100
9a3062c870598f08c19000a072897d30	Verrucomicrobiae	None	2.99E-05	0	38.0952381	61.9047619	0
cb8a2bab6496e9e16bc73536b53e3bcd	Verrucomicrobiae	None	2.85E-06	0	0	100	0
655c4e26812b8a7e6fdf8d39bacae072	Actinobacteria	None	5.05E-05	0	0	0	100
96cc3f44dde7538806818159372afdf5	Bacteroidia	None	9.96E-06	100	0	0	0
4f04c372941dc1ce2b75161adea0e4ff	Gammaproteobacteria	None	1.49E-05	0	0	0	100
d1720f7e3a4f10c2c927aff02116264e	Planctomycetes	None	2.85E-06	0	0	0	100
2ca630e6fe323741fd0ff17cb8372305	Gammaproteobacteria	None	0.000147309	14.49275362	27.53623188	0	57.97101449
7c9260cb39c10fef45b09ad77d5adb8f	Actinobacteria	None	8.82E-05	0	0	100	0
20b3e79e59155391bf08c209ef59eda1	Verrucomicrobiae	None	0.00022559	70.66246057	23.65930599	5.678233438	0
c2bdcc1173d07399e736f52720a45061	Verrucomicrobiae	None	2.85E-06	0	0	0	100
002d571bdd85bcdf5894925848de9eb6	Alphaproteobacteria	None	1.78E-05	0	28	72	0
317ba3cac2bfbeecf2525ffe0b76ba24	Verrucomicrobiae	None	6.40E-06	0	100	0	0
6d7e5fd5a5499f4ec97325ae2063d21b	Planctomycetes	None	2.21E-05	0	64.51612903	35.48387097	0
ed53a5ba0eabb5268f3f723635d2dbd0	Gammaproteobacteria	None	7.83E-06	0	100	0	0
dbae34e503dccfc5f9bb06ef415b3126	Gammaproteobacteria	None	2.28E-05	0	0	100	0
0242bb39e1ec97096d43178adae9c6f7	Planctomycetes	None	4.27E-06	0	100	0	0
c400cb76f10e10bf4a42a3f9cb0a79a3	Actinobacteria	None	6.48E-05	0	52.74725275	47.25274725	0
e3af19dca1ca5a2b82e27bca5fc94530	Planctomycetes	None	1.57E-05	0	0	63.63636364	36.36363636
906e9f56a15b30c7917622ce2c34e5e6	Bacteroidia	None	7.83E-06	0	0	0	100
0d572f6b5a1d6ee45e1167d6857c3b48	Verrucomicrobiae	None	7.61E-05	0	0	0	100
758b6a3cc3a75a50359557b76d9f3366	Alphaproteobacteria	None	6.48E-05	86.81318681	13.18681319	0	0
78216ce441555db7f3fb7c9aa7f16b54	Bacteroidia	None	2.85E-06	0	100	0	0
3dbf722532d39bccb12130ce129c26a6	Blastocatellia	None	1.28E-05	0	0	0	100
5ed48bdafd4bdb1030bb687549d5fc06	Gammaproteobacteria	None	1.28E-05	0	0	0	100
c4f4e8858afd0f65d338717523657fd9	Gammaproteobacteria	None	8.54E-06	0	0	0	100
0a2f68d6a0e26cdbc99921073bf629c0	Gammaproteobacteria	None	5.69E-06	0	100	0	0
977e27ed74c521b1604290824137173e	Bacteroidia	None	5.55E-05	0	15.38461538	84.61538462	0
c6798d5c5659eb0b94fba68a36c8e5ba	Blastocatellia	None	6.40E-06	0	0	100	0
3a8e743233ccdbf46e5f9bbfbc69f411	Alphaproteobacteria	Ash	0.000252632	73.52112676	26.47887324	0	0
eaa64fb348b6261ed42efc3d7a223003	Actinobacteria	None	8.54E-06	100	0	0	0
9ab1df778f4d29a20d1321b4f6c8a3e6	Verrucomicrobiae	None	0.000364359	0	0	100	0
02f582a6a4b32cb507cee6c7eb918ac8	Actinobacteria	None	1.42E-06	0	0	0	100
fa351adbba294abb2842478c2ccd73a6	Planctomycetes	None	9.96E-06	0	0	0	100
eccc1a4a8cbabba5bb6cbf0c0a721378	Bacilli	None	7.26E-05	15.68627451	75.49019608	8.823529412	0
52a0873e8c9086a2931f309892507382	Planctomycetes	None	1.49E-05	0	0	0	100
8411be99723be846b9207bc5a4cfc537	Alphaproteobacteria	None	9.96E-06	0	0	100	0
ec157f48cffcce2694732a9e58d925d7	Bacteroidia	None	0.00030387	0	27.63466042	72.36533958	0
2fea59f03d4c766b8560cf69071b70b9	Planctomycetes	None	5.62E-05	0	55.69620253	44.30379747	0
1542337444ce1bb85eacba84010563f6	Bacteroidia	None	9.96E-06	0	100	0	0
aadddeffdc6dcac4e872d54b247b8fc1	Bacteroidia	None	6.40E-06	0	0	100	0
06e638e215ac478e387f5a578104724f	Actinobacteria	None	4.27E-06	0	100	0	0
9d65879deab524384548626f6c528dc0	Verrucomicrobiae	None	4.98E-06	0	0	100	0
60c62612dc5338eb921aa2f7d765ae55	Verrucomicrobiae	None	5.69E-06	0	0	100	0
752f0b626077ba6f2015f1b452f824f8	Bacilli	None	2.13E-06	0	100	0	0
a894dd1ea1b8f48947a9e9ff688f06cc	Bacteroidia	None	0.001129371	0	89.98109641	10.01890359	0
df18fa1ab2577d5752518af53d5f8421	Verrucomicrobiae	None	1.49E-05	0	0	0	100
95799f10d957c9a8c8140fcec38831f0	Gammaproteobacteria	None	2.85E-06	0	0	0	100
1ae7ff46ea5ff8adc6133226220fb442	Bacteroidia	None	2.13E-06	0	0	0	100
38c4d4d8a675313ae6639259f00ff97c	Bacteroidia	None	7.05E-05	0	0	23.23232323	76.76767677
03fd78aef8b971411cf7da3af1f6bcc2	Alphaproteobacteria	None	5.69E-06	0	0	0	100
fd98346394a5c79e554003012cb33826	Actinobacteria	None	0.000470393	0	0	100	0
ad256cedb1673ca654e54377e4c8d813	Planctomycetes	None	2.13E-06	0	0	0	100
43a922da6dc12b0a1e8cec8341bd9e57	Gammaproteobacteria	None	1.14E-05	0	0	0	100
31246acf119a49914ae2da8d60cf726c	Alphaproteobacteria	None	7.12E-06	0	0	100	0
63424d66a47b14a8a6bb6098bea747e2	Bacteroidia	None	2.70E-05	0	0	100	0
5297a140c220034cb0454bb4fb37ff06	Verrucomicrobiae	None	3.34E-05	0	0	0	100
025077345cc15e56d469af96c5b59b56	Bacteroidia	None	1.21E-05	0	100	0	0
8ba04085cec2c36cfdb66d5be4d2d188	Bacilli	None	1.85E-05	0	0	100	0
50d83d0a1d491da28ac660c233ee7e96	Alphaproteobacteria	None	7.83E-06	100	0	0	0
08216fcd86ff435adc77ce041eeae780	Bacteroidia	None	0.000579986	0	45.27607362	54.72392638	0
ebfb2bd2ee9afc63cff33c9524724355	Verrucomicrobiae	None	4.55E-05	0	0	0	100
aa07330454900f929355167b0b877bfe	Planctomycetes	None	4.27E-06	0	0	100	0
9690ca66e3de1677239b5f06ed14f58c	Planctomycetes	None	9.96E-06	0	0	0	100
aac13d28a340ef937ed54c015b6d0553	Alphaproteobacteria	None	1.85E-05	100	0	0	0
c4324e0b12cb9bf47a132a0217ceba80	Alphaproteobacteria	None	6.40E-06	0	0	100	0
3f84d586da9d58c2fd052acf3f06d489	Gammaproteobacteria	None	2.13E-06	0	0	0	100
eb1ad25b90f479585d660e5779f4ee51	Verrucomicrobiae	None	3.91E-05	0	0	0	100
1e9705027fa2443373e45d39f5012ba5	Gammaproteobacteria	None	9.96E-06	100	0	0	0
7e4aab2262a15da64c91c3a87ca766f2	Gammaproteobacteria	None	2.85E-06	100	0	0	0
5a0ae6a10829f1b6d01debcce81fa0c6	Alphaproteobacteria	None	0.000320949	30.15521064	56.76274945	13.08203991	0
92bda727cab1432d4148093989e74a66	Bacteroidia	None	8.82E-05	0	100	0	0
e0fada5fd884e14bf866c99a1f6805b6	Acidimicrobiia	None	1.85E-05	0	0	0	100
04c28228b713360fd3c920963c0eebed	Verrucomicrobiae	None	7.26E-05	0	0	0	100
41772f5cba416fa7a1936368b92803fb	Verrucomicrobiae	None	2.06E-05	0	0	0	100
5f0df8572da58fd92463466f579afa06	Verrucomicrobiae	None	2.85E-05	0	0	0	100
3c4ffc8f8aa1409f603d60c75c15f4da	Alphaproteobacteria	None	2.21E-05	100	0	0	0
33fd7fa53b547e2591cc2dc4f734db17	Verrucomicrobiae	None	0.001040416	0	38.78248974	61.21751026	0
8ba1ba8cbdc0218d53784fe0ca696877	Planctomycetes	None	5.34E-05	0	0	100	0
e1e8da65b5ae0464bf0b086725684391	Planctomycetes	None	4.98E-06	0	0	0	100
55c358dbca71a6ed5de2bee0f7505e56	Planctomycetes	None	6.90E-05	0	0	0	100
94720ea07668026aeed059a444b7e90d	Gammaproteobacteria	None	5.19E-05	0	0	100	0
280573b3aeb4dc03fa1e3ad26505b17c	Bacteroidia	None	0.000214203	0	44.18604651	55.81395349	0
1dc3a7cd36625f81a603740de6b3160b	Alphaproteobacteria	None	1.21E-05	0	0	0	100
74dae22fa37c2ab6988c595a84286be2	Bacteroidia	None	8.54E-06	0	0	100	0
12afae8577bf5b00fffd1cad076c7017	Gammaproteobacteria	None	1.99E-05	0	0	71.42857143	28.57142857
0f186e6051a368c3dc27d2e8cee96114	Alphaproteobacteria	None	5.48E-05	0	100	0	0
1eb33bcfdad092c3c0d9accecc5c4801	Bacilli	None	3.56E-06	0	0	100	0
85ec3546c87b3e13e28e76cf9157d6d8	Planctomycetes	None	8.75E-05	0	0	0	100
4c2187d791f991abe0053c85556008a2	Bacteroidia	None	5.76E-05	77.77777778	22.22222222	0	0
67a422d702adef824cd08a9dc60d9316	Planctomycetes	None	4.98E-06	0	0	100	0
76a0bb156c20a5f1f9af9f199db6dc1f	Bacilli	None	2.85E-06	0	0	100	0
e8428b5b8303b4b2c54016cce3d16418	Gammaproteobacteria	None	2.85E-06	0	100	0	0
f2a86bfc307133b3a91b37b533bdf308	Bacteroidia	None	1.14E-05	0	0	100	0
1791e401932c91cea227089dbea9eea1	Alphaproteobacteria	None	5.69E-06	0	0	0	100
1a227ee2b6a6e30aba0bfc26906c87b4	Bacteroidia	None	8.54E-06	100	0	0	0
4f6d1f08742926067202dcdffb5a1c67	Alphaproteobacteria	None	8.54E-06	0	0	0	100
bc1444f950a48d696a8c71781133e661	Actinobacteria	None	1.42E-06	0	0	0	100
64c1baa933476cc16d12ff42d704d95e	Verrucomicrobiae	None	2.13E-06	0	100	0	0
6c33785c46c3fef68941d9addceaf948	Actinobacteria	None	3.27E-05	0	0	100	0
907be1eef47c3293129aee7f55d931fb	Bacteroidia	None	1.42E-06	0	0	0	100
51586d3309b34e81063ff0b72799d0ef	Bacteroidia	None	1.28E-05	0	0	100	0
9f073298245aa1bdbe22b3405ff40c69	Bacteroidia	None	3.06E-05	0	0	79.06976744	20.93023256
0a8fac26cd29fb7431cdba856b222e5e	Bacteroidia	None	8.82E-05	100	0	0	0
a27a98006f70b41744e4b684d61afe6c	Bacteroidia	None	4.70E-05	21.21212121	27.27272727	45.45454545	6.060606061
4e2bedbea6c2ae4e9658807af6d08a0b	Alphaproteobacteria	None	2.85E-06	0	0	0	100
bdeb9bce01148846a7a442dac9048360	Actinobacteria	None	5.69E-06	0	100	0	0
c931dc9511177be2e5f85b3782e7eebf	Acidimicrobiia	None	9.25E-06	0	0	0	100
559505e49715b68ce87792790038ae5e	Gammaproteobacteria	None	1.99E-05	0	0	0	100
d7701cc291d8d22852ab1968a350c1be	Gammaproteobacteria	None	0.000288925	0	93.34975369	6.650246305	0
345374c55407ad0fbe6a6d3782fc59bc	Bacteroidia	None	0.000108881	0	0	0	100
3c23f53610f71c681d43b0e584cee349	Acidimicrobiia	None	1.42E-06	0	0	100	0
c8df26095589dc6b671d4f59c6afe7ae	Planctomycetes	None	2.85E-06	0	0	0	100
9d84b49e4496c207cf3eb1eb8c3034ea	Verrucomicrobiae	None	9.25E-06	0	15.38461538	0	84.61538462
e16d86b7fe770de88e7e8fd0fb6c8b5a	Gammaproteobacteria	None	9.25E-06	0	0	0	100
0c90fed7a69b48a0ead335b6953a75ae	Planctomycetes	None	1.78E-05	0	0	0	100
06e498d5de2a22e120b7f09ede2db40a	Acidimicrobiia	None	2.13E-06	0	0	0	100
ed42c63e4a061ea5c9e3543bcadd1724	Alphaproteobacteria	None	7.83E-06	0	0	0	100
e1b4be23b3a377dc18ca9e35582a4f96	Planctomycetes	None	1.42E-05	0	0	100	0
bc4b12e937739a5f3287ccc89000f6dc	Bacteroidia	None	2.13E-06	0	0	100	0
7c638064918c969423a6d53770d16ebe	Alphaproteobacteria	None	2.78E-05	0	58.97435897	41.02564103	0
81bc354d69ee2b6be47ccd9077908d98	Gammaproteobacteria	Organic	0.010900885	0	23.17534926	76.10654132	0.718109414
d46765c55b861a8eafe1d194a8fc7cea	Alphaproteobacteria	None	0.000264018	9.973045822	27.76280323	62.26415094	0
ea9df93692d3e55c74eb0138bceb21c1	Planctomycetes	None	4.98E-06	0	0	0	100
81d0438249dd4ee8284d789b3864c4b7	Planctomycetes	None	7.12E-06	0	0	0	100
6c75393e2a23739dacf451ec31f46aa5	Bacteroidia	None	4.98E-06	0	0	0	100
4dbdf9f4b97bb3c05933f24e6f7aa8f5	Gammaproteobacteria	None	4.27E-06	0	100	0	0
838f9b15d03dbd6dc65050aac63dd8d0	Alphaproteobacteria	None	0.000105323	0	3.378378378	96.62162162	0
60f1ec5289b3caf08c5ab098f48c21f5	Verrucomicrobiae	None	0.000209933	16.27118644	30.84745763	52.88135593	0
c8b5f9a1a90fab7daca0fe8a97e71620	Verrucomicrobiae	None	9.96E-06	100	0	0	0
00672e38fbcf63abb34805427513d259	Verrucomicrobiae	None	1.07E-05	0	100	0	0
278dc18dc69ee51ba62a894e3f2a5f17	Gammaproteobacteria	None	2.85E-06	0	0	100	0
46d2ee4a438ee246b019895db6902ddd	Planctomycetes	None	0.000115286	0	17.28395062	61.72839506	20.98765432
8553bd0dbb73c5fa6fe8f4481fa62bbb	Bacteroidia	None	0.000129518	0	76.92307692	23.07692308	0
2bc6515f9f925bf1f9299def7b3d399d	Bacteroidia	None	8.54E-06	0	0	100	0
a7667570d23827a0b854c0ec382ec715	Planctomycetes	None	3.56E-06	0	0	100	0
5307f327b39a5d88f2b4fa6a2a78536d	Actinobacteria	None	3.56E-06	100	0	0	0
3b3eec5d2229fadbb4c9f017e1bc0a70	Alphaproteobacteria	None	7.83E-06	100	0	0	0
dca4f17d244238f2cb50571e2648ab77	Alphaproteobacteria	None	5.69E-06	100	0	0	0
a7c2bd13c66089eee6cb88c90bbd4782	Acidimicrobiia	None	9.25E-06	0	100	0	0
7d17751ad2d10909605d30dcaa8462b1	Alphaproteobacteria	None	2.13E-06	0	0	0	100
ebbbb6317084941d95bedb8d9b42da6e	Gammaproteobacteria	None	0.00102476	0	4.097222222	95.90277778	0
12994f11074da4bec1e96b73a5f542c5	Planctomycetes	None	1.42E-06	0	0	100	0
03e9f6db04a61c4f8a17d2068972f6ac	Actinobacteria	None	0.00030814	39.49191686	50.11547344	10.3926097	0
9bfd5e4268d88cf9249ebf37f26c41ae	Alphaproteobacteria	None	1.07E-05	0	0	100	0
055cc5c175b7ee71861240f66e7a4a31	Bacteroidia	None	4.70E-05	0	0	100	0
29d001ba05d3dd3dd06369a11d7d8700	Actinobacteria	None	0.003201664	0	99.55545677	0.444543232	0
5f446be222b26a089dc5f6d3845e9aa7	Verrucomicrobiae	None	3.34E-05	0	0	0	100
937781ad05be61d2f2c91d0665e51e21	Alphaproteobacteria	None	1.49E-05	0	0	100	0
4db011954a3726d7d53903dc31dadca1	Alphaproteobacteria	None	7.83E-06	0	0	0	100
7c5e43b67baf767b7e3dbfc961596180	Verrucomicrobiae	None	0.00013877	0	0	53.84615385	46.15384615
ae3e0640d29d6154df2d61657b6019d0	Gammaproteobacteria	None	2.85E-06	0	0	0	100
064f57228265a62fcfb627cd5c10835c	Alphaproteobacteria	None	7.83E-06	0	0	0	100
4f4c66b473de16c54b1a1dbd4292ac4e	Bacteroidia	None	7.12E-06	0	0	100	0
15b7853a6a16d76412cc329fc6421a85	Bacteroidia	None	2.13E-06	0	100	0	0
690c48464d506b0e07bf7bdf6ccc0758	Bacteroidia	None	0.000927977	0	30.82822086	66.94785276	2.22392638
620615f8d4e71e8dc2b068f8908537c2	Alphaproteobacteria	None	9.96E-06	0	0	100	0
c35b3d78c711e6ecab6679bde04e2875	Verrucomicrobiae	None	1.64E-05	0	0	0	100
30ba76de00b58ffea1df667ee5691152	Verrucomicrobiae	None	2.78E-05	61.53846154	0	38.46153846	0
8efc0a6ddce4af58f86118e0079ab465	Acidimicrobiia	None	9.25E-06	0	0	0	100
492043dbbe5b1bb8c3a068af2a1aa756	Bacteroidia	None	2.13E-06	0	0	0	100
ff77fc0bd8e5769025e34d27fa1aea7c	Planctomycetes	None	7.12E-06	0	0	0	100
a8cd1140bfbc643b601c26d1f9e9c6e8	Verrucomicrobiae	None	6.33E-05	0	0	0	100
ee104d75465d39a4a23094fe9d336bb6	Blastocatellia	None	3.49E-05	0	0	0	100
ca44845a8669c7a77f417b401f3f9fdf	Verrucomicrobiae	None	0.000291772	0	0	100	0
10a9c88c322b0477a8c892773c9ff31c	Alphaproteobacteria	None	2.85E-06	0	0	0	100
613189c673bfc229b38c55b039ba60dd	Verrucomicrobiae	None	1.64E-05	0	0	0	100
466ad82947f87bfa22fb177dcc07a706	Alphaproteobacteria	None	2.13E-06	0	0	0	100
33e6227ec7b14ad2431cb100d6881e73	Verrucomicrobiae	None	3.84E-05	0	0	100	0
f62f18539780330e7fbaddbcb272d187	Actinobacteria	None	1.42E-05	100	0	0	0
955943970347729542e5682cc5f06c96	Planctomycetes	None	1.14E-05	0	0	0	100
71118e2a5526a5646912409d896a3e0b	Planctomycetes	None	2.13E-06	0	100	0	0
87f80e1b75c17bba760e92b1f6969094	Gammaproteobacteria	None	0.000203529	0	0	0	100
6147d1b57cb0cb7849ab243ffbebe203	Actinobacteria	None	9.25E-06	100	0	0	0
ad72127c01dac114c005c83404612b5d	Alphaproteobacteria	Ash	0.002206081	75.03225806	24.96774194	0	0
561ca9482860ac8ba0531e4826a57c35	Alphaproteobacteria	None	7.83E-06	0	0	0	100
4408533306364be16237a06d45ca3fd2	Planctomycetes	None	2.13E-06	0	0	0	100
8d34a38e4834be7c2d94becd2a70dbd8	Alphaproteobacteria	None	1.85E-05	100	0	0	0
c93590fe8a445888cadb29ed79b6556a	Acidimicrobiia	None	4.27E-06	0	0	0	100
145b90f07ab442d839cdbc49d7a9690b	Alphaproteobacteria	None	2.49E-05	22.85714286	77.14285714	0	0
0a165844daf38d8ce2008c94a5b4565e	Alphaproteobacteria	None	0.000148733	48.80382775	23.44497608	27.75119617	0
621f952c7fbcdb5d27311df248508ca7	Gammaproteobacteria	None	6.40E-06	0	0	0	100
b68a908fcffc40038bfb6f151a508dc8	Alphaproteobacteria	None	9.39E-05	0	0	0	100
252b87c1c377bd8711e0f698f30f47ad	Bacteroidia	None	2.13E-06	0	100	0	0
c912193a6d843a028d1cdb6eff6bbcbd	Gammaproteobacteria	None	4.27E-06	0	0	100	0
deef27856048210db70c32a93d1d9b85	Alphaproteobacteria	None	5.69E-06	0	0	0	100
d254ad668488fbdf2e3aafc0bbc6e02c	Planctomycetes	None	2.13E-06	0	0	0	100
1efa6fc347fb1a7461c2741dc09e1852	Alphaproteobacteria	None	2.85E-06	0	100	0	0
1a1ef1099b6b2fc50c741d01cf1b88cb	Gammaproteobacteria	None	4.27E-06	0	100	0	0
4ec182414ae878f905755eaba9684295	Bacteroidia	None	2.13E-06	0	100	0	0
