Name	fire	year_post_burn	severity	Completeness	Contamination	MAG_size_bp	numb_contigs	MAG_FULL_TAX
BV_C1_S3_bin.34	beaver	5	Control	94.58	3.22	4332800	151	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Baekduia;s__
BV_C1_S3_bin.67	beaver	5	Control	91.66	7.44	7255681	722	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__JAFAMB01;g__;s__
BV_C1_S3_bin.80	beaver	5	Control	95.56	3.7	6884857	521	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__
BV_C1_S3_bin.94	beaver	5	Control	87.12	2.18	3633085	209	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella_A;s__
BV_C1_S3_bin.96	beaver	5	Control	90.31	2.79	4661385	580	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Lustribacter;s__
BV_C1_S3_itr_bin.139	beaver	5	Control	90.85	3.86	4310640	238	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__
BV_C1_S3_itr_bin.44	beaver	5	Control	71.44	4.31	4296322	644	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__
BV_C1_S3_itr_bin.73	beaver	5	Control	84.36	9.96	6595124	528	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__URHD0088;s__
BV_C1_S3_prok_bin.107	beaver	5	Control	88.02	5.95	4085785	483	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__FEN-1191;s__
BV_C1_S3_prok_bin.127	beaver	5	Control	74.19	8.18	9047299	1285	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Trebonia;s__
BV_C1_S3_prok_bin.13	beaver	5	Control	73.61	1.41	4059699	549	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__;s__
BV_C1_S3_prok_bin.148	beaver	5	Control	98.68	8.54	5173382	271	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Granulicella_C;s__
BV_C1_S3_prok_bin.169	beaver	5	Control	88.19	10.83	9738729	1097	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia;s__
BV_C1_S3_prok_bin.44	beaver	5	Control	74.71	0.24	2912863	332	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__SZAS-18;g__SZAS-18;s__
BV_C1_S3_prok_bin.47	beaver	5	Control	86.74	5.42	3600992	185	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__PALSA-600;s__
BV_C1_S3_prok_bin.5	beaver	5	Control	78.17	1.41	3061560	44	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__
BV_C1_S3_prok_bin.8	beaver	5	Control	98.03	6.88	7166534	586	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__Gp6-AA45;s__
BV_C2_S1_bin.6	beaver	5	Control	84.57	3.38	5495948	675	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__Dictyobacter;s__
BV_C2_S1_prok_bin.11	beaver	5	Control	94.9	5.78	4753474	104	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__
BV_C2_S1_prok_bin.17	beaver	5	Control	94.2	3.13	6337959	315	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__
BV_C2_S1_prok_bin.9	beaver	5	Control	78.06	3.05	8002229	1160	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Bog-105;s__
BV_C2_S2_bin.1	beaver	5	Control	78.11	5.61	2930787	100	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-744;s__
BV_C2_S2_bin.103	beaver	5	Control	90.52	9.3	8723666	583	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Palsa-506;s__
BV_C2_S2_bin.104	beaver	5	Control	97.05	2.59	6276878	131	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__
BV_C2_S2_bin.114	beaver	5	Control	93.84	3.45	2990488	29	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-744;s__
BV_C2_S2_bin.122	beaver	5	Control	91.45	9.81	6727446	292	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__
BV_C2_S2_bin.125	beaver	5	Control	81.5	5.78	3042422	139	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-744;s__
BV_C2_S2_bin.127	beaver	5	Control	80.5	8.62	3631687	150	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-473;s__
BV_C2_S2_bin.13	beaver	5	Control	88.81	4.63	4475195	291	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__
BV_C2_S2_bin.171	beaver	5	Control	92.41	0.13	2879368	80	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Tumulicola;s__
BV_C2_S2_bin.174	beaver	5	Control	100	0.35	2982365	115	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__Rhizomicrobium;s__
BV_C2_S2_bin.182	beaver	5	Control	87.93	1.52	3154970	205	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-756;s__
BV_C2_S2_bin.20	beaver	5	Control	94.85	1.34	2354595	57	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__
BV_C2_S2_bin.36	beaver	5	Control	95.39	2.26	4256306	23	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8190;g__Palsa-661;s__
BV_C2_S2_bin.67	beaver	5	Control	88.02	2.52	4109929	173	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Palsa-1248;s__
BV_C2_S2_bin.70	beaver	5	Control	73.61	9.55	6092539	702	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__JALYXI01;s__
BV_C2_S2_bin.72	beaver	5	Control	73.62	5.9	4148993	421	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
BV_C2_S2_bin.73	beaver	5	Control	92.52	1.81	4052506	458	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Palsa-295;s__
BV_C2_S2_bin.75	beaver	5	Control	99.97	4.59	6329009	183	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
BV_C2_S2_bin.78	beaver	5	Control	90.25	1.14	6802230	588	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__;s__
BV_C2_S2_bin.99	beaver	5	Control	99.78	1.35	6382485	233	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Puia;s__
BV_C2_S2_itr_bin.104	beaver	5	Control	80.64	2.88	2480108	81	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__
BV_C2_S2_itr_bin.15	beaver	5	Control	88.82	9.95	9054403	1388	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Isosphaerales;f__Isosphaeraceae;g__;s__
BV_C2_S2_itr_bin.84	beaver	5	Control	71.84	6.98	3300655	208	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Edaphobacter;s__
BV_C2_S2_itr_bin.88	beaver	5	Control	84.64	5.18	2535481	80	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-744;s__
BV_C2_S2_itr_bin.95	beaver	5	Control	78.77	5.58	2874375	160	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Granulicella;s__
BV_C2_S2_prok_bin.11	beaver	5	Control	77.93	3.3	2570494	332	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-744;s__
BV_C2_S2_prok_bin.121	beaver	5	Control	78.97	10.89	8686256	728	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Trebonia;s__
BV_C2_S2_prok_bin.157	beaver	5	Control	85.6	10.55	4989782	435	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__
BV_C2_S2_prok_bin.163	beaver	5	Control	94.78	9.46	5170656	171	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Granulicella;s__
BV_C2_S2_prok_bin.166	beaver	5	Control	86.71	1.94	3579823	144	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__FEN-1191;s__
BV_C2_S2_prok_bin.168	beaver	5	Control	81.25	3.1	2824248	282	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Galbitalea;s__
BV_C2_S2_prok_bin.177	beaver	5	Control	86.09	7.17	4586292	69	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Granulicella_C;s__
BV_C2_S2_prok_bin.187	beaver	5	Control	86.58	2.11	3411428	67	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-744;s__
BV_C2_S2_prok_bin.25	beaver	5	Control	95.02	2.59	8117135	531	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__;s__
BV_C3_S1_bin.5	beaver	5	Control	94.84	2.29	2911121	49	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-744;s__
BV_C3_S1_bin.9	beaver	5	Control	92.49	4.78	3312696	257	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__
BV_C3_S1_prok_bin.8	beaver	5	Control	100	0.29	4999751	29	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Gp1-AA117;g__Angelobacter;s__
BV_H1_S2_itr_bin.4	beaver	5	High	78.34	2.38	2266826	361	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Mycetocola_A;s__Mycetocola_A sp025464835
BV_L1_S3_bin.111	beaver	5	Low	93.9	6.88	10747899	510	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Labilithrix;s__
BV_L1_S3_bin.13	beaver	5	Low	79.01	9.99	5602123	566	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Baekduia;s__
BV_L1_S3_bin.138	beaver	5	Low	98.05	1.32	6205557	131	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Gp7-AA8;f__Gp7-AA8;g__JAOBAU01;s__
BV_L1_S3_bin.143	beaver	5	Low	88.93	2.02	2390808	108	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__
BV_L1_S3_bin.163	beaver	5	Low	85.13	8.54	9243790	921	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia;s__
BV_L1_S3_bin.164	beaver	5	Low	82.62	4.41	3853623	263	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Usitatibacteraceae;g__Usitatibacter;s__
BV_L1_S3_bin.17	beaver	5	Low	92.62	1.7	3480618	47	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-744;s__
BV_L1_S3_bin.170	beaver	5	Low	97.35	1.84	4717310	73	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__;s__
BV_L1_S3_bin.189	beaver	5	Low	88.96	6.85	7911516	837	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__JAGSPQ01;s__
BV_L1_S3_bin.197	beaver	5	Low	91.38	4.86	2170792	126	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__
BV_L1_S3_bin.2	beaver	5	Low	93.62	2.49	5252971	632	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Scleromatobacter;s__
BV_L1_S3_bin.20	beaver	5	Low	99.88	1.37	4507887	93	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__
BV_L1_S3_bin.201	beaver	5	Low	87.64	3.09	3677026	324	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__
BV_L1_S3_bin.212	beaver	5	Low	91.03	1.83	7035602	186	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Palsa-1104;g__JAQBQH01;s__
BV_L1_S3_bin.216	beaver	5	Low	81.93	10.79	4206351	169	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__LC5-1;s__
BV_L1_S3_bin.219	beaver	5	Low	88.18	4.74	8072482	977	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
BV_L1_S3_bin.222	beaver	5	Low	81.32	1.49	4462316	272	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__
BV_L1_S3_bin.223	beaver	5	Low	95.07	3.02	6430350	437	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__AG11;s__
BV_L1_S3_bin.27	beaver	5	Low	89.98	0.18	3662387	229	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Edaphobacter;s__
BV_L1_S3_bin.31	beaver	5	Low	99.67	8.44	6134137	255	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__JAUJNH01;g__JAUJNH01;s__
BV_L1_S3_bin.34	beaver	5	Low	94.63	1.69	4046855	25	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__AV80;s__
BV_L1_S3_bin.49	beaver	5	Low	90.1	4.03	4986254	57	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__AG11;s__
BV_L1_S3_bin.50	beaver	5	Low	95.75	2.16	6101235	144	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__UBA11236;f__UBA11236;g__Chersky-265;s__
BV_L1_S3_bin.53	beaver	5	Low	95.52	2.48	3363581	73	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__SCTD01;g__RYN-111;s__
BV_L1_S3_bin.63	beaver	5	Low	81.8	9.29	4822815	832	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__WLMZ01;s__
BV_L1_S3_bin.68	beaver	5	Low	85.44	1.42	3701878	343	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Paeniglutamicibacter;s__
BV_L1_S3_bin.76	beaver	5	Low	97.47	6.19	5407503	376	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__12-FULL-67-14b;s__
BV_L1_S3_bin.78	beaver	5	Low	89.59	5.19	3160745	237	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__
BV_L1_S3_bin.85	beaver	5	Low	75.88	8.67	3543070	209	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__JACDCH01;g__VFJN01;s__
BV_L1_S3_bin.89	beaver	5	Low	96.36	3.1	6550116	66	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Multivoradales;f__UBA5704;g__UBA5704;s__
BV_L1_S3_itr_bin.128	beaver	5	Low	87.54	6.89	8021275	715	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__CAIYRG01;s__
BV_L1_S3_itr_bin.17	beaver	5	Low	80.71	4.69	6781693	966	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Anatilimnocola;s__
BV_L1_S3_itr_bin.24	beaver	5	Low	82.98	2.98	2862394	42	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__
BV_L1_S3_itr_bin.32	beaver	5	Low	83.54	5.4	4262668	505	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ramlibacter;s__
BV_L1_S3_itr_bin.59	beaver	5	Low	87.89	8.05	3858467	193	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Jatrophihabitantaceae;g__SB3-54;s__
BV_L1_S3_prok_bin.100	beaver	5	Low	91.49	5.09	3673463	326	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA9628;g__GWA2-66-18;s__
BV_L1_S3_prok_bin.101	beaver	5	Low	81.29	2.18	3280513	355	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__JAQGKB01;s__
BV_L1_S3_prok_bin.120	beaver	5	Low	93.92	4.07	3658849	144	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__
BV_L1_S3_prok_bin.121	beaver	5	Low	89.02	9.41	4560993	368	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__
BV_L1_S3_prok_bin.123	beaver	5	Low	78.29	7.45	3944292	479	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Jatrophihabitantaceae;g__QHCC01;s__QHCC01 sp025965875
BV_L1_S3_prok_bin.126	beaver	5	Low	84.15	1	3512684	276	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__JACQAP01;g__JACQAP01;s__
BV_L1_S3_prok_bin.166	beaver	5	Low	91.9	7.29	4053804	156	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__
BV_L1_S3_prok_bin.168	beaver	5	Low	77.76	3.84	2170013	260	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__
BV_L1_S3_prok_bin.186	beaver	5	Low	86.98	5.45	4612820	227	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola;s__Marmoricola sp025965195
BV_L1_S3_prok_bin.231	beaver	5	Low	91.2	5.43	5775816	451	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__IMCC26256;f__BP-133;g__BP-133;s__BP-133 sp030838785
BV_L1_S3_prok_bin.41	beaver	5	Low	92.99	1.6	4911825	219	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SZAS-79;s__
BV_L1_S3_prok_bin.43	beaver	5	Low	89.85	7.87	4841241	461	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Noviherbaspirillum;s__Noviherbaspirillum sp028292565
BV_L1_S3_prok_bin.71	beaver	5	Low	89.18	0.69	4382603	120	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__HKI-0501;g__JAVEDU01;s__JAVEDU01 sp030840805
BV_L1_S3_prok_bin.91	beaver	5	Low	97.22	3.32	8052142	423	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Caballeronia;s__Caballeronia sp028292365
BV_L2_S2_bin.10	beaver	5	Low	80.77	4.55	3347868	337	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__
BV_L2_S2_bin.112	beaver	5	Low	95.03	4.17	6006113	125	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Gp7-AA8;f__Gp7-AA8;g__QHVT01;s__
BV_L2_S2_bin.129	beaver	5	Low	79.18	6.8	11639372	913	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__JADJRH01;s__
