,OTUID,,Count in SJ v TP,Count in SF v SJ,Count in SF v TP,Count in SF v SJ shallow,Count in TP v SJ shallow,Count in SF v TP shallow,Count in SF v TP deep,Count in TP v SJ deep,Count in SJ v SF deep,Count in SF v TP OM,Count in SJ v SF OM,Count in TP v SJ OM
13,2ba2ebcf739af4670e1f2fe08951238d,d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__uncultured; g__uncultured; s__uncultured_bacterium,9,10,9,10,9,6,6,7,7,4,6,7
14,048145e9b74e6ff29c989759c864b27f,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__uncultured,9,8,10,7,10,13,9,6,2,19,12,16
15,1146ba70583ee01c973696c7e9bc4ef0,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured,8,7,10,9,10,4,6,12,13,3,3,3
16,27505d891be6e78e6ef5107faab1135a,d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Rokubacteriales; f__Rokubacteriales; g__Rokubacteriales; s__uncultured_bacterium,8,8,6,6,6,2,4,10,9,0,1,2
17,c71829085b238abe0aa60294d4b71501,d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured,8,13,7,12,7,15,15,14,15,6,3,2
18,ed82a046875fe2fb69e9c2aed1a01ae9,d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__uncultured; g__uncultured; s__uncultured_Acidobacteria,8,7,8,7,8,7,5,5,5,6,7,6
19,58dc5faa1d0c886169bf2e31bc2fd5e8,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Candidatus_Udaeobacter; s__uncultured_Verrucomicrobia,8,7,8,7,8,9,9,8,7,7,6,6
20,be93056d74644d9a3eaaf413a7b27cb5,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas,7,6,4,4,4,4,3,4,3,7,8,9
21,4fcdea0c8bec8fe31399f13268feacf4,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__uncultured,7,8,6,9,6,7,10,9,10,6,6,4
22,b8353928b8edc1d9a65e4407d2838933,d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_Subgroup_1; g__Granulicella,7,8,7,10,7,12,7,4,5,19,12,15
23,da9b25f4bef0018236cd5ab5aafdc809,d__Bacteria; p__Chloroflexi; c__TK10; o__TK10; f__TK10; g__TK10,6,3,5,4,5,3,3,6,4,4,5,6
24,707d3620d5425fc1d8b183df55086e38,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__67.14; g__67.14; s__metagenome,6,6,5,5,5,3,4,5,5,5,6,6
25,c43f5c0ef598348227c3e34bf1e2ae4d,d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Vicinamibacteraceae,5,5,7,6,7,3,3,6,7,1,8,8
26,7573969ffd46cae2241a27c9fbe0ece6,d__Bacteria; p__Chloroflexi; c__KD4.96; o__KD4.96; f__KD4.96; g__KD4,5,5,7,6,7,5,6,8,8,3,3,3
27,f55ce8ce1c66bc95c84a2beed8a401db,d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__11.24; f__11.24; g__11.24; s__uncultured_Acidobacteria,5,5,4,4,4,1,1,5,5,1,1,1
28,592852ab83150c4f69f7206716e320ec,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces,5,5,5,5,5,3,3,6,5,3,7,4
29,9886e4970e5acb552faa0879f9d1e9b7,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae,5,4,6,5,6,6,3,5,4,6,4,7
30,29489e95257a248060aae2e9a000ce11,d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae,5,4,5,3,5,2,3,4,4,7,5,7
31,fe0b1a443bda52db939f9ba64402a236,d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter,5,4,5,5,5,9,8,5,5,10,6,6
32,1bea0431f805b434f8fab1f8aa9062ac,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__WD260; f__WD260; g__WD260; s__uncultured_bacterium,5,5,5,5,5,6,5,5,5,5,5,4
33,8744c844f29c542c7e6dd60707fb91e4,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides,5,5,4,2,4,3,1,3,2,3,7,7
34,72c8232bfdc067e891038ce7f3cb6ea3,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__uncultured; s__uncultured_bacterium,5,4,4,4,4,4,6,4,3,4,2,3
35,e1a0903babdc5305add0c3a7561467ed,d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group; s__uncultured_eubacterium,5,5,5,5,5,5,5,5,5,5,5,3
36,55d8c1896720b64ed27bde00c9c1839e,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__uncultured,4,3,4,2,4,2,2,3,3,4,4,4
37,9f32ce1b393fc1c45c9933fa8d9568bb,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__uncultured; s__uncultured_planctomycete,4,7,5,7,5,12,22,8,10,5,3,2
38,99f46ff4c621d80ba2feedfbe1f4f0f3,d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_Subgroup_1; g__Acidipila,4,4,4,6,4,6,6,4,4,3,3,2
39,9a02c6dc9b8e6ba9bee19e620d637ea8,d__Bacteria; p__WPS.2; c__WPS.2; o__WPS.2; f__WPS.2; g__WPS.2; s__uncultured_bacterium,4,2,5,2,5,7,6,4,3,12,3,8
40,16f9fff5e5e46cb13aa05c1d68389f60,d__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Ktedonobacteraceae,4,1,4,1,4,6,6,6,4,1,0,0
41,c5d57e999983d48650f6fa5c0c663e66,d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__IMCC26256; f__IMCC26256; g__IMCC26256,4,3,4,3,4,3,5,5,2,3,4,4
42,64065716ed1572ed3c9c590847f2ca6c,d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Subgroup_7; f__Subgroup_7; g__Subgroup_7,4,4,6,2,6,6,5,5,5,5,1,4
43,8379cd6eb01a75e55ce391817a29e2f2,d__Bacteria; p__Armatimonadota; c__Chthonomonadetes; o__Chthonomonadales; f__Chthonomonadaceae; g__Chthonomonas; s__uncultured_bacterium,4,2,4,1,4,5,2,1,1,14,4,14
44,9117710d5d513da07ee1b4fa7ba586d9,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Pir4_lineage,4,4,6,5,6,5,3,5,5,1,2,2
45,6abf189ec8d0ff74a167f52daa042583,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Elsterales; f__uncultured; g__uncultured,4,2,4,2,4,6,3,2,2,3,2,3
46,448b014934fac079ece9065175ebb3a2,d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_2; f__Subgroup_2; g__Subgroup_2; s__uncultured_Acidobacteria,4,6,5,5,5,5,6,6,6,3,3,2
47,47849031e0b4f6772ade9fa27b560923,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__LD29; s__uncultured_bacterium,4,1,0,0,0,0,0,0,0,16,3,12
48,a5e9b979be1c9b91d38e3efdef54281e,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Pir4_lineage; s__metagenome,4,3,4,3,4,4,4,3,3,3,6,6
49,8db0c901fb4e4c7ae1bcab162279076a,d__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__C0119; f__C0119; g__C0119; s__uncultured_soil,3,3,4,2,4,5,2,1,2,2,1,2
50,4608fae4bbc9964cdd17af8782f2155e,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia,3,2,2,1,2,2,1,1,1,4,4,6
51,dbfed6e3709aa244cfb9856fa7b6d991,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Rhodoplanes,3,2,3,3,3,3,2,2,1,1,2,2
52,6d92a9c4b5617471e409acb180cc58f1,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__uncultured; g__uncultured; s__metagenome,3,4,3,1,3,3,1,1,1,5,8,8
53,9850e0dca2c01590f71132ca67304f36,d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured; s__uncultured_soil,3,2,2,2,2,1,0,1,1,1,1,1
54,b9dec2e7508e36e70607411ecdb4bf50,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured; s__metagenome,3,3,3,3,3,3,2,3,2,2,3,3
55,1dd2264d130d303e037022d0b3174184,d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter; s__uncultured_bacterium,3,1,3,1,3,3,3,2,2,3,0,3
56,a2449a709fff2435ddaa100258736dfd,d__Bacteria; p__RCP2.54; c__RCP2.54; o__RCP2.54; f__RCP2.54; g__RCP2.54; s__uncultured_bacterium,3,2,2,3,2,3,4,5,4,1,1,0
57,2c789efc0bf391aec36bc5cb5783fad0,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__uncultured; g__uncultured; s__uncultured_bacterium,3,4,2,3,2,2,2,2,2,2,3,3
58,217a074ed4c56592cfa42ac9e652252f,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Puia; s__metagenome,3,3,3,3,3,3,3,3,3,3,3,4
59,a5337822ed2126b68a6697faed06e36b,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria_Incertae_Sedis; f__Unknown_Family; g__Acidibacter,3,4,3,3,3,3,2,3,3,3,5,4
60,54e45351edc0d4d0d86227d9f59aa6e8,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__SC.I.84; g__SC.I,3,3,2,2,2,1,2,4,4,0,0,1
61,856c73d80fd24787b21e7cdb148e5602,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia.Caballeronia.Paraburkholderia,3,3,3,3,3,2,2,3,3,2,2,2
62,9ecec32c1d60c130f9b564daa42941ed,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__KF.JG30.B3; g__KF.JG30.B3,3,3,3,2,3,2,1,1,1,1,1,1
63,929fbdfe6ddf59213751788c633b8e89,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae; g__uncultured,3,3,1,2,1,2,0,0,0,5,3,4
64,93988738902d604ab4cff3397079a862,d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter; s__uncultured_forest,3,3,2,3,2,4,4,2,3,4,3,3
65,b6cef8956dc95f90a3c93af26583f3db,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae,3,2,2,1,2,2,1,1,0,2,4,4
66,a6f8c1d0db6c3424aeacc644c94adee9,d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter; s__uncultured_bacterium,3,3,3,3,3,3,3,3,3,5,3,4
67,9c9364621aa6a2051e6eef0024dbf98e,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae,3,4,2,2,2,1,0,2,2,7,8,8
68,174a9c78d1b7ea173c39b96b6d429dae,d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group; s__uncultured_soil,3,3,4,4,4,1,1,7,7,0,0,0
69,c41a89dc1c7374fd7f57abc90cc6ab4f,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae; g__uncultured; s__metagenome,3,3,2,3,2,2,2,2,3,5,4,4
70,1cf472d32be36791450f08a4a4d6bce0,d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_Subgroup_1; g__Acidipila; s__uncultured_bacterium,3,4,2,4,2,5,2,2,3,4,3,4
71,c65189071c139a4014927be73e64499e,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__uncultured; g__uncultured,3,3,3,3,3,1,0,3,3,1,1,1
72,ba774432cea724a9df46d7aad4fbc4bd,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Kribbella,3,3,3,2,3,3,2,3,2,2,2,2
73,311fafe500a89f6033940b58323dec12,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Pseudonocardia,3,3,2,1,2,1,0,0,0,5,8,8
74,e464c89b66d09c44096a3d752984da97,d__Bacteria; p__Myxococcota; c__bacteriap25; o__bacteriap25; f__bacteriap25; g__bacteriap25; s__uncultured_Syntrophobacterales,3,2,2,1,2,0,0,2,2,0,1,1
75,4ec81bd69e459719476285fb4011476d,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae,3,3,3,3,3,1,1,3,3,1,3,3
76,dd8de31a9b6876cd8762b8947b4664c7,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__uncultured; s__uncultured_bacterium,3,3,3,4,3,2,2,3,3,3,2,2
77,09a6e9296315e441029c963f4fcec995,d__Bacteria; p__Chloroflexi; c__AD3; o__AD3; f__AD3; g__AD3,3,3,1,2,1,3,5,4,4,0,0,0
78,a67eeb52c20e1b883386f3adfb67407b,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__uncultured,3,5,3,5,3,5,6,5,4,8,7,3
79,8fb91147cbbabefbd4d355a475d79f6d,d__Bacteria; p__Latescibacterota; c__Latescibacterota; o__Latescibacterota; f__Latescibacterota; g__Latescibacterota,3,3,3,3,3,0,0,4,4,0,0,0
80,231890551664c677ac85de215ecdd84f,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Roseimicrobium; s__metagenome,3,1,3,2,3,2,2,2,2,4,5,4
81,30fd2e00997da9a81eb1aea8d912326f,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Chthoniobacter; s__metagenome,3,4,2,2,2,1,1,2,2,4,3,3
82,0841cc0874a4c9260c9f11c0f911d5ef,d__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Ktedonobacteraceae; g__uncultured; s__uncultured_bacterium,3,1,3,1,3,4,6,1,2,6,1,4
83,e9a07ca7e19e48c004a0c9ace09d796d,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas,3,4,2,2,2,1,2,3,3,5,6,5
84,ecec680dfa8263d43890af65e2a608cb,d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group; s__uncultured_Planctomycetales,3,3,3,3,3,4,5,5,4,1,2,2
85,496a44423bf0f174bab759d1c46768a1,d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrososphaeraceae,3,3,3,3,3,1,1,4,4,0,2,2
86,a651313957476afb572b7747e688b02d,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae,3,3,4,2,4,3,3,3,2,4,4,5
87,c29d751ee7f4bca46cc8a7945f3bc693,d__Bacteria; p__Actinobacteriota; c__MB.A2.108; o__MB.A2.108; f__MB.A2.108; g__MB.A2.108; s__uncultured_bacterium,2,3,2,2,2,2,1,4,3,0,0,0
88,740fcd2636bc470a3e512bf74353e5d7,d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__SBR1031; g__SBR1031,2,2,2,1,2,2,2,2,3,0,1,1
89,590755be05fb889ea8628a8797150818,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__Gaiella,2,2,2,2,2,1,2,4,4,0,1,1
90,8630d4597b32dd0029c883d538e53937,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Chthoniobacter; s__Verrucomicrobia_bacterium,2,3,2,2,2,2,2,3,3,1,0,0
91,0ce0f17d5b136f20bef98ba3cca1157e,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae,2,2,2,2,2,2,2,2,2,2,7,4
92,d0e661e33a9f3ed7563c1537de924b87,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__S.BQ2.57_soil_group; f__S.BQ2.57_soil_group; g__S.BQ2.57_soil_group; s__uncultured_bacterium,2,2,1,2,1,2,2,2,3,0,1,1
93,21f1fb5d5dfc0baeefae8ac645593726,d__Bacteria; p__Armatimonadota; c__Chthonomonadetes; o__Chthonomonadales; f__Chthonomonadales; g__Chthonomonadales; s__uncultured_bacterium,2,0,1,1,1,3,1,2,1,2,1,3
94,f32c9bfe003d529d2d425ad5ab9abd65,d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__uncultured; s__uncultured_bacterium,2,1,3,0,3,2,1,3,2,1,1,1
95,10124e0e98b28e30fccb1f3aa7a58ac7,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Isosphaerales; f__Isosphaeraceae; g__Aquisphaera,2,2,2,2,2,2,2,2,2,1,1,0
96,553c3b9fb5efc079d8cf147810f5d611,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales,2,2,2,2,2,1,1,1,1,1,2,2
97,00b40feb2346ac03f628a054235fdce4,d__Bacteria; p__Chloroflexi; c__KD4.96; o__KD4.96; f__KD4.96; g__KD4.96; s__uncultured_Chloroflexi,2,2,1,1,1,1,1,2,3,1,1,1
98,cb899d8e3e5b14de3428e3a09c1be20b,d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Subgroup_7; f__Subgroup_7; g__Subgroup_7; s__uncultured_proteobacterium,2,0,1,0,1,1,2,1,1,1,1,1
99,d1e528469c3c549515387dfacd23f2ee,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Acidothermaceae; g__Acidothermus; s__uncultured_bacterium,2,3,2,2,2,5,3,0,2,4,2,3
100,f7ff2ff86f8394a792c3a1efb32830fd,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__Gemmata; s__uncultured_bacterium,2,2,2,3,2,3,4,4,3,1,2,3
101,45660e85d53c8467d8cf267bdd2b4445,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Rhodanobacter; s__uncultured_Xanthomonadaceae,2,2,2,1,2,2,2,1,1,4,3,2
102,068f67a8b58661d0c88752eda613e6bd,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Opitutus,2,2,3,1,3,2,0,2,2,2,2,2
103,c33f68927f034f89b21e7adc94cff240,d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured,2,2,2,2,2,2,2,2,2,1,1,1
104,e51ab537a82a151086c2595ef1a5052e,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__uncultured; s__uncultured_Zavarzinella,2,0,2,1,2,1,0,0,0,0,1,1
105,fc5611bf8eb967f41083584917a7ffff,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__uncultured; s__metagenome,2,2,1,1,1,1,1,2,2,0,2,2
106,d032a250f2f8cd9116bb6c9bf393b476,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Chthoniobacter; s__uncultured_Verrucomicrobia,2,2,2,2,2,2,1,2,2,1,2,2
107,7e99b85efa7d5c71f7c4b833ae03fe11,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__Pedosphaeraceae,2,0,2,1,2,0,3,3,4,1,0,0
108,2a41770ada426f5cc583aaa9b44e463d,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured; s__uncultured_Rubrobacteria,2,1,2,1,2,0,0,2,2,0,0,0
109,17151bc98f223c788fa2974b70f6172d,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Isosphaerales; f__Isosphaeraceae; g__Singulisphaera; s__uncultured_bacterium,2,3,1,2,1,2,2,1,2,2,1,2
110,9ef838fa62b54b6e1bf2696f33e9044b,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Frankiaceae; g__Jatrophihabitans,2,2,2,3,2,4,2,1,2,3,3,3
111,9bf11d3d6f80606a2d5ab256d6a7731f,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Isosphaerales; f__Isosphaeraceae; g__uncultured,2,3,2,3,2,4,5,4,2,2,1,0
112,0cf12624939b3025c24a93f0e658bb70,d__Bacteria,2,2,6,4,6,12,7,2,2,22,7,14
113,275a10ed3379fc05e1b25235b5af4dcc,d__Bacteria; p__Actinobacteriota; c__MB.A2.108; o__MB.A2.108; f__MB.A2.108; g__MB.A2,2,0,2,1,2,1,0,2,2,0,0,0
114,854080deaa8d5312c3c9640817c8e55d,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__67.14; g__67,2,0,1,1,1,2,2,2,1,1,0,1
115,9a8b9b84807d74b5526d143d1dfc2c8d,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Candidatus_Udaeobacter; s__uncultured_Prosthecobacter,2,2,2,2,2,1,1,2,2,1,1,1
116,045f99f4681d30a356630821c847a6fb,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__AKYH767; g__AKYH767; s__metagenome,2,2,2,2,2,2,1,2,2,1,1,1
117,f0709f171b589606c85046e0d3d661c6,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Sporichthyaceae; g__uncultured; s__uncultured_bacterium,2,2,2,2,2,1,0,1,1,0,1,1
118,91dfc58824fc09e6079c95a3ce21e81f,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Xiphinematobacteraceae; g__Candidatus_Xiphinematobacter; s__metagenome,2,2,3,3,3,1,1,3,3,1,2,2
119,e62e07c063dbf268cd99419698793993,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Puia; s__uncultured_bacterium,2,2,1,2,1,3,3,2,2,6,5,4
