OTUID	Core	0-5cm	5-15cm	OM
a784af96ba200686a106d0c43fb65d01	OM	FALSE	FALSE	TRUE
e0cf29f81749119eb9f4647ca8462f00	OM	FALSE	FALSE	TRUE
f74a23038095f558d209d451c03c9b7e	OM	FALSE	FALSE	TRUE
fd0e3dfc373f1b085e28d4f38797a89b	OM	FALSE	FALSE	TRUE
3df4806b577dcca1c55cbad8e419a24c	OM	FALSE	FALSE	TRUE
40bb5d1d6d94847da5c4d1a1e8121880	OM	FALSE	FALSE	TRUE
57cb542c918c06831e9b1faa9f13c04f	OM	FALSE	FALSE	TRUE
6a5199f36565fddcec40c197ffa97dfe	"0-5cm, OM"	TRUE	FALSE	TRUE
6c2b1cf663513c1df67144351ebe62ad	"0-5cm, OM"	TRUE	FALSE	TRUE
96a9a5266277f26897a76cc1483437a2	"0-5cm, OM"	TRUE	FALSE	TRUE
c42d4cca470e8f087f5c34f87343909e	"0-5cm, OM"	TRUE	FALSE	TRUE
c93a6006f6eb105c8333bfd8dec75106	OM	FALSE	FALSE	TRUE
eef38670da90426695b8e414b17b59ab	OM	FALSE	FALSE	TRUE
2d16d001e21717f960cf771ae879b1dd	OM	FALSE	FALSE	TRUE
2d51eee954d47bb2f71665bd2691bb94	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
51134a7e94eaa43b755fcefbcae08912	"0-5cm, OM"	TRUE	FALSE	TRUE
d21e65b83b6486df09b738c4f2c5c706	OM	FALSE	FALSE	TRUE
d62f237df97b59f411ae8f4712e319c5	OM	FALSE	FALSE	TRUE
ea50ab99242e77fd8d897c2c43449f84	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
ecec680dfa8263d43890af65e2a608cb	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
ed20cdef613605a9d1fe98d8005e91fa	OM	FALSE	FALSE	TRUE
375097b560fa92e9931a2b15b838c38e	OM	FALSE	FALSE	TRUE
501ad8d73a349eaa81ad472cdb6a3cc3	OM	FALSE	FALSE	TRUE
5059586d0bae0529e70b213033b8d554	OM	FALSE	FALSE	TRUE
98681ff2bb6380bb37ee2d4cd82a493c	OM	FALSE	FALSE	TRUE
abae3771d5f40267f682b62f003a3d9b	"0-5cm, OM"	TRUE	FALSE	TRUE
ce60a6ff9d1ebb20bc5c414825cd8833	OM	FALSE	FALSE	TRUE
ce66cfb2714ac46183591cd81238c363	OM	FALSE	FALSE	TRUE
d2023994f487389892bc610a3ce896f0	OM	FALSE	FALSE	TRUE
eea19163f36d57a415cc86158eb3c9bf	OM	FALSE	FALSE	TRUE
fc4d567d1d0828e1fdc36916f0d53d15	OM	FALSE	FALSE	TRUE
6472eb8b1e09f892aca2f23182962903	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
10f0461cb8a244c14aa2fb73e127e9e5	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
2d51eee954d47bb2f71665bd2691bb94	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
595c8b8e312c12524cc06f2b7fda2a76	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
