OTUID		Site	Core	0-5cm	5-15cm	OM
fd0e3dfc373f1b085e28d4f38797a89b	d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Frankiales;  f__Acidothermaceae;  g__Acidothermus;  s__uncultured_soil	TP	OM	FALSE	FALSE	TRUE
6c2b1cf663513c1df67144351ebe62ad	d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Frankiales;  f__Frankiaceae;  g__Jatrophihabitans; 	TP	"0-5cm, OM"	TRUE	FALSE	TRUE
375097b560fa92e9931a2b15b838c38e	d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Frankiales;  f__Frankiaceae;  g__Jatrophihabitans;  s__uncultured_actinobacterium	TP	OM	FALSE	FALSE	TRUE
eb28b1a40981d38e6a0aab251174dae1	d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Kineosporiales;  f__Kineosporiaceae;  g__Kineosporia; 	SF	OM	FALSE	FALSE	TRUE
702af9e944edfd5a1a7f0dce0d566376	d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Micrococcales;  f__Microbacteriaceae; ; 	SF	0-5cmOM	TRUE	FALSE	TRUE
702af9e944edfd5a1a7f0dce0d566376	d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Micrococcales;  f__Microbacteriaceae; ; 	TP	"0-5cm, OM"	TRUE	FALSE	TRUE
7ff346973a282aa55de296afdb5d74af	d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Micrococcales;  f__Micrococcaceae; ; 	SJ	0-5cm	TRUE	FALSE	FALSE
fc4d567d1d0828e1fdc36916f0d53d15	d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Micromonosporales;  f__Micromonosporaceae;  g__Actinoplanes; 	TP	OM	FALSE	FALSE	TRUE
9b63aba95bcd3432d7b73099e413525e	d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Propionibacteriales;  f__Nocardioidaceae;  g__Nocardioides; 	TP	OM	FALSE	FALSE	TRUE
2a39f0b75d31d00b3136b2edbe82962e	d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Pseudonocardiales;  f__Pseudonocardiaceae;  g__Actinomycetospora; 	TP	OM	FALSE	FALSE	TRUE
51134a7e94eaa43b755fcefbcae08912	d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Pseudonocardiales;  f__Pseudonocardiaceae;  g__Crossiella; 	TP	"0-5cm, OM"	TRUE	FALSE	TRUE
78071b43244e5ebd909b446a937d7c77	d__Bacteria;  p__Actinobacteriota;  c__Thermoleophilia;  o__Gaiellales;  f__Gaiellaceae;  g__Gaiella; 	SJ	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
00d0b30327c0d4cedc8738974f330269	d__Bacteria;  p__Actinobacteriota;  c__Thermoleophilia;  o__Gaiellales;  f__uncultured;  g__uncultured; 	SF	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
00d0b30327c0d4cedc8738974f330269	d__Bacteria;  p__Actinobacteriota;  c__Thermoleophilia;  o__Gaiellales;  f__uncultured;  g__uncultured; 	TP	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
922ad5ade914e0bd651cfbbc7f076edb	d__Bacteria;  p__Actinobacteriota;  c__Thermoleophilia;  o__Gaiellales;  f__uncultured;  g__uncultured; 	TP	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
c93a6006f6eb105c8333bfd8dec75106	d__Bacteria;  p__Actinobacteriota;  c__Thermoleophilia;  o__Gaiellales;  f__uncultured;  g__uncultured;  s__metagenome	TP	OM	FALSE	FALSE	TRUE
ca373a4791ebf956b0016d1241bcfc6a	d__Bacteria;  p__Actinobacteriota;  c__Thermoleophilia;  o__Solirubrobacterales;  f__67-14;  g__67-14;  s__uncultured_actinobacterium	TP	0-5cm	TRUE	FALSE	FALSE
f74a23038095f558d209d451c03c9b7e	d__Bacteria;  p__Actinobacteriota;  c__Thermoleophilia;  o__Solirubrobacterales;  f__Solirubrobacteraceae;  g__Conexibacter;  s__uncultured_Conexibacteraceae	SF	OM	FALSE	FALSE	TRUE
f74a23038095f558d209d451c03c9b7e	d__Bacteria;  p__Actinobacteriota;  c__Thermoleophilia;  o__Solirubrobacterales;  f__Solirubrobacteraceae;  g__Conexibacter;  s__uncultured_Conexibacteraceae	TP	OM	FALSE	FALSE	TRUE
cb80be4ac2def4c41b4338fe839038be	d__Bacteria;  p__Actinobacteriota;  c__Thermoleophilia;  o__Solirubrobacterales;  f__Solirubrobacteraceae;  g__uncultured; 	SF	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
d21e65b83b6486df09b738c4f2c5c706	d__Bacteria;  p__Actinobacteriota;  c__Thermoleophilia;  o__Solirubrobacterales;  f__Solirubrobacteraceae;  g__uncultured; 	TP	OM	FALSE	FALSE	TRUE
dd5d6ed771dadfa88dfc1d00e17888df	d__Bacteria;  p__Armatimonadota;  c__Chthonomonadetes;  o__Chthonomonadales;  f__Chthonomonadaceae;  g__Chthonomonas;  s__uncultured_bacterium	SF	OM	FALSE	FALSE	TRUE
43c9e86409734b832125a67753d9b6ab	d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Chitinophagales;  f__Chitinophagaceae;  g__Puia;  s__metagenome	SF	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
e4ee05bbf4ea42bb7404e560a5998628	d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Chitinophagales;  f__Chitinophagaceae;  g__Puia;  s__metagenome	SF	OM	FALSE	FALSE	TRUE
6a5199f36565fddcec40c197ffa97dfe	d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Chitinophagales;  f__Chitinophagaceae;  g__uncultured; 	TP	"0-5cm, OM"	TRUE	FALSE	TRUE
2d66d59115e5f8c6d716f72f4fc26f23	d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Chitinophagales;  f__Chitinophagaceae;  g__uncultured;  s__uncultured_Ferruginibacter	SF	OM	FALSE	FALSE	TRUE
2d66d59115e5f8c6d716f72f4fc26f23	d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Chitinophagales;  f__Chitinophagaceae;  g__uncultured;  s__uncultured_Ferruginibacter	TP	"0-5cm, OM"	TRUE	FALSE	TRUE
13ad238ff80cde86ce862692d31236d7	d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Sphingobacteriales;  f__Sphingobacteriaceae;  g__Mucilaginibacter; 	SF	OM	FALSE	FALSE	TRUE
0e55339184fe9a032b6098595b39905f	d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Sphingobacteriales;  f__Sphingobacteriaceae;  g__Mucilaginibacter; 	SF	OM	FALSE	FALSE	TRUE
5f0927bf984f286d11de39a8867c2ac7	d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Sphingobacteriales;  f__Sphingobacteriaceae;  g__Mucilaginibacter; 	SF	OM	FALSE	FALSE	TRUE
9a18b3e5b4a12118afc37eda5ffc0464	d__Bacteria;  p__Chloroflexi;  c__AD3;  o__AD3;  f__AD3;  g__AD3;  s__uncultured_bacterium	TP	0-5cm	TRUE	FALSE	FALSE
a2204aac16893b7d9da312e2f3b59d2f	d__Bacteria;  p__Chloroflexi;  c__AD3;  o__AD3;  f__AD3;  g__AD3;  s__uncultured_Chloroflexi	SF	5-15cm	FALSE	TRUE	FALSE
5b2529faa44a3679b887ecd91b6b4149	d__Bacteria;  p__Chloroflexi;  c__KD4-96;  o__KD4-96;  f__KD4-96;  g__KD4-96; 	SJ	0-5cm	TRUE	FALSE	FALSE
7dd6bcd8968a583ae728f34c989d076c	d__Bacteria;  p__Chloroflexi;  c__KD4-96;  o__KD4-96;  f__KD4-96;  g__KD4-96; 	SJ	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
c39e15de7f8295ecfed0969cd53b2126	d__Bacteria;  p__Chloroflexi;  c__KD4-96;  o__KD4-96;  f__KD4-96;  g__KD4-96; 	SJ	5-15cm	FALSE	TRUE	FALSE
0a403db41b0def2fadaeb309717f3ef7	d__Bacteria;  p__Gemmatimonadota;  c__Gemmatimonadetes;  o__Gemmatimonadales;  f__Gemmatimonadaceae;  g__uncultured; 	SJ	5-15cm	FALSE	TRUE	FALSE
0a403db41b0def2fadaeb309717f3ef7	d__Bacteria;  p__Gemmatimonadota;  c__Gemmatimonadetes;  o__Gemmatimonadales;  f__Gemmatimonadaceae;  g__uncultured; 	TP	0-5cm	TRUE	FALSE	FALSE
32935146e1792f6b87dee4909e73bca0	d__Bacteria;  p__Methylomirabilota;  c__Methylomirabilia;  o__Rokubacteriales;  f__Rokubacteriales;  g__Rokubacteriales;  s__uncultured_bacterium	SJ	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
cc4fa9a30fb72ffe2170c798191b1aba	d__Bacteria;  p__Myxococcota;  c__Polyangia;  o__Polyangiales;  f__BIrii41;  g__BIrii41;  s__metagenome	SF	OM	FALSE	FALSE	TRUE
8b09097dfd970dee5f77a5c364c44adb	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__CPla-3_termite_group;  g__CPla-3_termite_group; 	SF	OM	FALSE	FALSE	TRUE
615bd33c02924e045567c5a2f2e6c5f0	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__CPla-3_termite_group;  g__CPla-3_termite_group;  s__metagenome	TP	OM	FALSE	FALSE	TRUE
6eeb0b7534f0a4bcb0b26db35f3080d2	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__WD2101_soil_group;  g__WD2101_soil_group; 	TP	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
affb9e5b3625cbfcbe612ea5d4558b9c	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__WD2101_soil_group;  g__WD2101_soil_group; 	TP	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
ac05239d928345234c6539b3a6fd96e3	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__WD2101_soil_group;  g__WD2101_soil_group;  s__Planctomycetales_bacterium	SF	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
ac05239d928345234c6539b3a6fd96e3	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__WD2101_soil_group;  g__WD2101_soil_group;  s__Planctomycetales_bacterium	SJ	5-15cm	FALSE	TRUE	FALSE
ac05239d928345234c6539b3a6fd96e3	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__WD2101_soil_group;  g__WD2101_soil_group;  s__Planctomycetales_bacterium	TP	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
587028418f52f49c7d579b98a996d95a	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__WD2101_soil_group;  g__WD2101_soil_group;  s__uncultured_bacterium	SF	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
e84205357a065acdfc52b51f9b454efe	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__WD2101_soil_group;  g__WD2101_soil_group;  s__uncultured_bacterium	SF	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
e84205357a065acdfc52b51f9b454efe	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__WD2101_soil_group;  g__WD2101_soil_group;  s__uncultured_bacterium	TP	0-5cm	TRUE	FALSE	FALSE
587028418f52f49c7d579b98a996d95a	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__WD2101_soil_group;  g__WD2101_soil_group;  s__uncultured_bacterium	TP	5-15cm	FALSE	TRUE	FALSE
61509f877dc1e07994d72e1e05f119be	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__WD2101_soil_group;  g__WD2101_soil_group;  s__uncultured_bacterium	TP	OM	FALSE	FALSE	TRUE
a784af96ba200686a106d0c43fb65d01	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__WD2101_soil_group;  g__WD2101_soil_group;  s__uncultured_bacterium	TP	OM	FALSE	FALSE	TRUE
501ad8d73a349eaa81ad472cdb6a3cc3	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__WD2101_soil_group;  g__WD2101_soil_group;  s__uncultured_bacterium	TP	OM	FALSE	FALSE	TRUE
eea19163f36d57a415cc86158eb3c9bf	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__WD2101_soil_group;  g__WD2101_soil_group;  s__uncultured_bacterium	TP	OM	FALSE	FALSE	TRUE
11d92fe454d82973eb99cbc2620b3a88	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__WD2101_soil_group;  g__WD2101_soil_group;  s__uncultured_eubacterium	SF	0-5cm	TRUE	FALSE	FALSE
379cf90be2267e66454a1d773f88487c	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__WD2101_soil_group;  g__WD2101_soil_group;  s__uncultured_eubacterium	SF	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
e1a0903babdc5305add0c3a7561467ed	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__WD2101_soil_group;  g__WD2101_soil_group;  s__uncultured_eubacterium	SF	5-15cm	FALSE	TRUE	FALSE
379cf90be2267e66454a1d773f88487c	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__WD2101_soil_group;  g__WD2101_soil_group;  s__uncultured_eubacterium	TP	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
ecec680dfa8263d43890af65e2a608cb	d__Bacteria;  p__Planctomycetota;  c__Phycisphaerae;  o__Tepidisphaerales;  f__WD2101_soil_group;  g__WD2101_soil_group;  s__uncultured_Planctomycetales	SF	"5-15cm, OM"	FALSE	TRUE	TRUE
