samples	Sample	Full_name_old	Plot	combo	Block_Unit	Depth	Date	Weight (g)	combo	Unit	Block	Depth	Sampling Date	Soil Horizon	Date Processed	Sample Type	Water  (g)	Water Content [(w_d)/d]  (g/g)	Total Sample Dry Weight (g)	Soil pH	C (%)	N (%)	NH4_N (mg/L)	NO3_N(mg/L)
ASCC111_7_44_0923_TP_1C_15	Sample111	TP	7	TP_44_5_15cm	44	5_15cm	45175	0.61	TP_44_5_15cm	7	2	5_15cm	45175	Mineral	45187	NORM	0.46	0.048319328	602.5549499	6.148	0.6056	0.029	0.2003	0.0147
ASCC113_12_84_0923_TP_1C_15	Sample113	TP	12	TP_84_5_15cm	84	5_15cm	45174	0.49	TP_84_5_15cm	12	3	5_15cm	45174	Mineral	45189	NORM	0.61	0.064687169	358.5560259	5.53	2.1822	0.0637	0.182	0.3963
ASCC114_9_60_0923_TP_1C_5	Sample114	TP	9	TP_60_0_5cm	60	0_5cm	45175	0.46	TP_60_0_5cm	9	3	0_5cm	45175	Mineral	45189	NORM	1.186	0.129901424	435.8787321	5.054	4.6303	0.0872	0.3479	0.0457
ASCC115_3_15_0923_TP_1C_5	Sample115	TP	3	TP_15_0_5cm	15	0_5cm	45175	0.54	TP_15_0_5cm	3	1	0_5cm	45175	Mineral	45187	NORM	0.758	0.08012685	366.8643179	6.136	7.4091	0.1713	0.2378	0.3888
ASCC116_4_24_0923_TP_1C_5	Sample116	TP	4	TP_24_0_5cm	24	0_5cm	45175	0.58	TP_24_0_5cm	4	1	0_5cm	45174	Mineral	45187	NORM	0.5	0.052521008	542.725509	6.483	3.1904	0.0854	0.2667	0.4161
ASCC117_14_94_0923_TP_1C_15	Sample117	TP	14	TP_94_5_15cm	94	5_15cm	45174	0.44	TP_94_5_15cm	14	4	5_15cm	45174	Mineral	45189	NORM	0.71	0.076098607	736.688994	5.523	0.931	0.0317	0.2801	0.063
ASCC118_16_110_0923_TP_1C_5	Sample118	TP	16	TP_110_0_5cm	110	0_5cm	45174	0.56	TP_110_0_5cm	16	4	0_5cm	45174	Mineral	45190	NORM	0.714	0.075635593	255.5791215	5.789	2.7184	0.0619	6.3704	0.372
ASCC119_11_72_0923_TP_1C_5	Sample119	TP	11	TP_72_0_5cm	72	0_5cm	45175	0.54	TP_72_0_5cm	11	3	0_5cm	45175	Mineral	45189	NORM	0.47	0.049525817	522.9123394	6.071	2.5884	0.0792	0.2616	0.0524
ASCC12_T1A_6_0923_SJ_1C_5	Sample12	SJ	T1A	SJ_TA1_0_5cm	6	0_5cm	45195	0.62	SJ_TA1_0_5cm	TA	1	0_5cm	45195	Mineral	45239	NORM	1.04	0.116201117	771.5007508	6.99	3.3926	0.3452	0	0
ASCC120_3_16_0923_TP_1C_15	Sample120	TP	3	TP_16_5_15cm	16	5_15cm	45175	0.79	TP_16_5_15cm	3	1	5_15cm	45175	Mineral	45187	NORM	0.42	0.043887147	588.646006	5.888	1.1633	0.043	0.2533	0.0208
ASCC121_6_38_0923_TP_1C_5	Sample121	TP	6	TP_38_0_5cm	38	0_5cm	45175	0.65	TP_38_0_5cm	6	2	0_5cm	45175	Mineral	45189	NORM	0.612	0.063157895	786.2425743	7.209	0.9981	0.0463	0.2375	0.0399
ASCCI 23_2_12_0923_TP_1C_15	Sample123	TP	2	TP_12_5_15cm	12	5_15cm	45174	0.52	TP_12_5_15cm	2	1	5_15cm	45174	Mineral	45184	NORM	0.6	0.063829787	282.0094	5.921	1.0661	0.0304	0.2543	0.0315
ASCCC124_4_24_0923_TP_1C_15	Sample124	TP	4	TP_24_5_15cm	24	5_15cm	45175	0.52	TP_24_5_15cm	4	1	5_15cm	45175	Mineral	45187	NORM	0.42	0.044025157	613.0695181	5.844	3.5576	0.0461	0.1896	0.462
ASCC125_14_97_0923_TP_1C_5	Sample125	TP	14	TP_97_0_5cm	97	0_5cm	45174	0.57	TP_97_0_5cm	14	4	0_5cm	45174	Mineral	45189	NORM	0.96	0.102345416	426.4634236	5.385	2.4536	0.0623	0.272	0.0546
ASCC126_6_39_0923_TP_1C_15	Sample126	TP	6	TP_39_5_15cm	39	5_15cm	45175	0.65	TP_39_5_15cm	6	2	5_15cm	45175	Mineral	45187	NORM	0.59	0.062899787	891.7585757	6.503	0.201	0.0231	0.1695	0.3799
ASCC127_5_32_0923_TP_1C_5	Sample127	TP	5	TP_32_0_5cm	32	0_5cm	45175	0.54	TP_32_0_5cm	5	2	0_5cm	45175	Mineral	45189	NORM	0.862	0.091897655	884.4235501	5.976	3.3675	0.0647	0.2182	0.5225
ASCC128_15_100_0923_TP_1C_15	Sample128	TP	15	TP_100_5_15cm	100	5_15cm	45174	0.57	TP_100_5_15cm	15	4	5_15cm	45174	Mineral	45184	NORM	0.48	0.050314465	425.662994	5.881	0.2238	0.058	0.2419	0.0372
ASCC129_13_87_0923_TP_1C_5	Sample129	TP	13	TP_87_0_5cm	87	0_5cm	45174	0.46	TP_87_0_5cm	13	4	0_5cm	45174	Mineral	45189	NORM	0.884	0.092954784	401.6360112	5.216	3.7523	0.1482	0.3671	0.0571
ASCC13_T3A_4_0923_SJ_1C_5	Sample13	SJ	T3A	SJ_TA3_0_5cm	4	0_5cm	45196	0.51	SJ_TA3_0_5cm	TA	3	0_5cm	45196	Mineral	45223	NORM	0.8	0.086767896	1176.286128	6.68	4.3096	0.2055	0.3796	0.1129
ASCC130_4_26_0923_TP_1C_15	Sample130	TP	4	TP_26_5_15cm	26	5_15cm	45175	0.76	TP_26_5_15cm	4	1	5_15cm	45175	Mineral	45189	NORM	0.53	0.054414784	776.2599805	5.911	1.0991	0.0272	0.2121	0.0115
ASCC131 _5_33_0923_TP_1C_5	Sample131	TP	5	TP_33_0_5cm	33	0_5cm	45175	0.57	TP_33_0_5cm	5	2	0_5cm	45175	Mineral	45187	NORM	0.3	0.030832477	723.328006	5.4	1.7162	0.0651	0.2564	0.5782
ASCC132_1_4_0923_TP_1C_5	Sample132	TP	1	TP_4_0_5cm	4	0_5cm	45174	0.37	TP_4_0_5cm	1	1	0_5cm	45174	Mineral	45184	NORM	0.956	0.102906351	184.1860824	6.304	2.3874	0.0856	0.5265	0.0283
ASCC133_2_12_0923_TP_1C_15	Sample133	TP	2	TP_12_5_15cm	12	5_15cm	45174	0.64	TP_12_5_15cm	2	1	5_15cm	45174	Mineral	45184	NORM	0.6	0.063829787	282.0094	5.921	1.0661	0.0304	0.2543	0.0315
ASCC134_10_67_0923_TP_1C_15	Sample134	TP	10	TP_67_5_15cm	67	5_15cm	45175	0.57	TP_67_5_15cm	10	3	5_15cm	45175	Mineral	45189	NORM	0.54	0.057142857	535.6418919	5.991	0.7532	0.0139	0.2368	0.0505
ASCC136_4_26_0923_TP_1C_5	Sample136	TP	4	TP_26_0_5cm	26	0_5cm	45175	0.52	TP_26_0_5cm	4	1	0_5cm	45175	Mineral	45190	NORM	0.764	0.080505796	298.8045056	5.963	0.6222	0.0501	0.3054	0.0104
ASCC137_6_38_0923_TP_1C_15	Sample137	TP	6	TP_38_5_15cm	38	5_15cm	45175	0.64	TP_38_5_15cm	6	2	5_15cm	45175	Mineral	45189	NORM	0.688	0.071517672	798.4002716	7.422	1.0959	0.0144	0.2093	0.0408
ASCC138_2_13_0923_TP_1C_15	Sample138	TP	2	TP_13_5_15cm	13	5_15cm	45174	0.44	TP_13_5_15cm	2	1	5_15cm	45174	Mineral	45184	NORM	1.564	0.173777778	314.2928815	6.544	5.5448	0.1288	0.1861	0.0342
ASCC139_14_94_0923_TP_1C_5	Sample139	TP	14	TP_94_0_5cm	94	0_5cm	45174	0.33	TP_94_0_5cm	14	4	0_5cm	45174	Mineral	45189	NORM	1.04	0.116331096	436.779018	5.253	2.981	0.0876	0.316	0.0616
ASCC14_C1_2_0923_SJ_1C_5	Sample14	SJ	C1	SJ_C1_0_5cm	2	0_5cm	45195	0.62	SJ_C1_0_5cm	C	1	0_5cm	45195	Mineral	45222	NORM	1.38	0.159537572	607.4663011	6.803	3.7215	0.2614	1.0409	0.0657
ASCC140_5_33_0923_TP_1C_15	Sample140	TP	5	TP_33_5_15cm	33	5_15cm	45175	0.72	TP_33_5_15cm	5	2	5_15cm	45175	Mineral	45187	NORM	0.46	0.048016701	815.4927291	6.106	0.2904	0.0272	0.2247	0.3082
ASCC141_7_43_0923_TP_1C_15	Sample141	TP	7	TP_43_5_15cm	43	5_15cm	45175	0.64	TP_43_5_15cm	7	2	5_15cm	45175	Mineral	45187	NORM	0.596	0.061889927	824.7559163	6.065	1.4561	0.0201	0.1926	0.594
ASCC142_9_58_0923_TP_1C_15	Sample142	TP	9	TP_58_5_15cm	58	5_15cm	45175	0.43	TP_58_5_15cm	9	3	5_15cm	45175	Mineral	45189	NORM	0.54	0.056842105	649.7848606	5.855	0.3736	0.0161	0.2282	27.3231
ASCC143_1_3_0923_TP_1C_5	Sample143	TP	1	TP_3_0_5cm	3	0_5cm	45174	0.72	TP_3_0_5cm	1	1	0_5cm	45174	Mineral	45182	NORM	0.62	0.066027689	324.7195205	6.212	2.2166	0.0754	0.2955	0.0227
ASCC145_15_101_0923_TP_1C_15	Sample145	TP	15	TP_101_5_15cm	101	5_15cm	45174	0.48	TP_101_5_15cm	15	4	5_15cm	45174	Mineral	45184	NORM	0.846	0.08952381	426.2596154	6.372	3.857	0.104	0.219	0.0366
ASCC146_12_82_0923_TP_1C_15	Sample146	TP	12	TP_82_5_15cm	82	5_15cm	45174	0.45	TP_82_5_15cm	12	3	5_15cm	45174	Mineral	45189	NORM	1.068	0.115086207	459.596753	5.501	1.7317	0.0513	0.3065	0.056
ASCC148_10_67_0923_TP_1C_5	Sample148	TP	10	TP_67_0_5cm	67	0_5cm	45175	0.6	TP_67_0_5cm	10	3	0_5cm	45175	Mineral	45189	NORM	0.54	0.056962025	740.2252695	5.311	3.5187	0.0946	0.2242	0.0506
ASCC149_3_16_0923_TP_1C_5	Sample149	TP	3	TP_16_0_5cm	16	0_5cm	45175	0.39	TP_16_0_5cm	3	1	0_5cm	45175	Mineral	45189	NORM	0.36	0.037267081	670.8011976	6.036	2.302	0.0758	0.3194	0.019
ASCC15_T3C_4_0923_SJ_1C_5	Sample15	SJ	TC3	SJ_TC3_0_5cm	4	0_5cm	45196	0.63	SJ_TC3_0_5cm	TC	3	0_5cm	45196	Mineral	45240	NORM	1.348	0.147161572	907.1084888	6.546	4.8052	0.2181	0	0
ASCC150_9_58_0923_TP_1C_5	Sample150	TP	9	TP_58_0_5cm	58	0_5cm	45175	0.64	TP_58_0_5cm	9	3	0_5cm	45175	Mineral	45189	NORM	0.43	0.044838373	814.5278942	5.971	1.2076	0.0589	0.2719	0.0391
ASCC151_9_60_0923_TP_1C_15	Sample151	TP	9	TP_60_5_15cm	60	5_15cm	45175	0.38	TP_60_5_15cm	9	3	5_15cm	45175	Mineral	45189	NORM	1.292	0.13982684	510.9548044	4.914	1.1206	0.0311	0.2025	0.0467
ASCC152_7_44_0923_TP_1C_5	Sample152	TP	7	TP_44_0_5cm	44	0_5cm	45175	0.4	TP_44_0_5cm	7	2	0_5cm	45175	Mineral	45187	NORM	0.37	0.038302277	491.0419741	6.438	2.0464	0.0633	0.2661	0.0142
ASCC153_13_87_0923_TP_1C_15	Sample153	TP	13	TP_87_5_15cm	87	5_15cm	45174	0.71	TP_87_5_15cm	13	4	5_15cm	45174	Mineral	45189	NORM	1.05	0.1124197	361.1856208	5.565	2.2919	0.0556	0.2789	0.0596
ASCC154_15_101_0923_TP_1C_5	Sample154	TP	15	TP_101_0_5cm	101	0_5cm	45174	0.54	TP_101_0_5cm	15	4	0_5cm	45174	Mineral	45184	NORM	0.99	0.10554371	267.5606557	5.996	0.6915	0.0233	0.3222	0.0342
ASCC155_13_88_0923_TP_1C_5	Sample155	TP	13	TP_88_0_5cm	88	0_5cm	45174	0.54	TP_88_0_5cm	13	4	0_5cm	45174	Mineral	45189	NORM	0.8	0.087051143	461.8365966	5.745	3.6139	0.0796	0.5307	0.0592
ASCC156_8_52_0923_TP_1C_15	Sample156	TP	8	TP_52_5_15cm	52	5_15cm	45175	0.53	TP_52_5_15cm	8	2	5_15cm	45175	Mineral	45187	NORM	0.5	0.052742616	762.4370741	6.073	1.0984	0.0395	0.234	0.0181
ASCC157_13_88_0923_TP_1C_15	Sample157	TP	13	TP_88_5_15cm	88	5_15cm	45174	0.62	TP_88_5_15cm	13	4	5_15cm	45174	Mineral	45189	NORM	0.77	0.083333333	693.4984615	5.746	0.8345	0.04	0.295	0.0596
ASCC15_T3C_4_0923_SJ_1C_5	Sample15	SJ	TC3	SJ_TC3_0_5cm	4	0_5cm	45196	0.63	SJ_TC3_0_5cm	TC	3	0_5cm	45196	Mineral	45240	NORM	1.348	0.147161572	907.1084888	6.546	4.8052	0.2181	0	0
ASCC159_12_84_0923_TP_1C_5	Sample159	TP	12	TP_84_0_5cm	84	0_5cm	45174	0.48	TP_84_0_5cm	12	3	0_5cm	45174	Mineral	45187	NORM	0.84	0.091803279	429.3813814	5.602	2.8686	0.069	0.2141	0.4132
ASCC16_TB3_2_0923_SJ_1C_5	Sample16	SJ	TB3	SJ_TB3_0_5cm	2	0_5cm	45196	0.45	SJ_TB3_0_5cm	TB	3	0_5cm	45196	Mineral	45223	NORM	1.59	0.18973747	609.7479639	6.217	3.6398	0.2947	0.7141	0.0843
ASCC160_2_13_0923_TP_1C	Sample160	TP	2	TP_13_OM	13	OM	45174	0.46	TP_13_OM	2	1	OM	45174	O_Horizon	45204	NORM	NA	0.059554194	69.42	NA	37.1691	1.2219	NA	NA
ASCC161_6_38_0923_TP_1C2	Sample161	TP	6	TP_38_OM	38	OM	45175	0.24	TP_38_OM	6	2	OM	45175	O_Horizon	45190	NORM	NA	0.048052824	643.74	NA	23.0455	1.0578	NA	NA
ASCC162_1_3_0923_TP_1C	Sample162	TP	1	TP_3_OM	3	OM	45174	0.29	TP_3_OM	1	1	OM	45174	O_Horizon	45204	NORM	NA	0.096225352	276.9	NA	27.2432	1.2959	NA	NA
ASCC163_13_88_0923_TP_1C	Sample163	TP	13	TP_88_OM	88	OM	45174	0.31	TP_88_OM	13	4	OM	45174	O_Horizon	45191	NORM	NA	0.06305578	60.13	NA	30.193	1.0967	NA	NA
ASCC164_2_12_0923_TP_1C	Sample164	TP	2	TP_12_OM	12	OM	45174	0.33	TP_12_OM	2	1	OM	45174	O_Horizon	45204	NORM	NA	0.053852527	107.21	NA	43.251	1.2681	NA	NA
ASCC165_7_44_0923_TP_1C	Sample165	TP	7	TP_44_OM	44	OM	45175	0.25	TP_44_OM	7	2	OM	45175	O_Horizon	45191	NORM	NA	0.067881864	227.35	NA	26.1241	1.1629	NA	NA
ASCC166_5_32 0923_TP_1C	Sample166	TP	5	TP_32_OM	32	OM	45175	0.28	TP_32_OM	5	2	OM	45175	O_Horizon	45190	NORM	NA	0.116021713	439.88	NA	21.5747	1.0263	NA	NA
ASCC167_15_100_0923_TP_1C	Sample167	TP	15	TP_100_OM	100	OM	45174	0.26	TP_100_OM	15	4	OM	45174	O_Horizon	45204	NORM	NA	0.089912069	217.63	NA	33.6729	1.4439	NA	NA
ASCC168_10_68_0923_TP_1C	Sample168	TP	10	TP_68_OM	68	OM	45175	0.25	TP_68_OM	10	3	OM	45175	O_Horizon	45190	NORM	NA	0.083844727	150.79	NA	37.3351	1.4934	NA	NA
ASCC169_14_97_0923_TP_1C	Sample169	TP	14	TP_97_OM	97	OM	45174	0.26	TP_97_OM	14	4	OM	45174	O_Horizon	45191	NORM	NA	0.12559775	650.55	NA	25.4515	1.0568	NA	NA
ASCC17_T4A_3_0923_SJ_1C_15	Sample17	SJ	T4A	SJ_TA4_5_15cm	3	5_15cm	45194	0.47	SJ_TA4_5_15cm	TA	4	5_15cm	45197	Mineral	45237	NORM	1.06	0.118568233	910.1367	7.674	3.7103	0.2864	0	0
ASCC170_12_82_0923_TP_1C	Sample170	TP	12	TP_82_OM	82	OM	45174	0.34	TP_82_OM	12	3	OM	45174	O_Horizon	45201	NORM	NA	0.030967065	391.7	NA	27.9906	1.2762	NA	NA
ASCC171_3_16_0923_TP_1C	Sample171	TP	3	TP_16_OM	16	OM	45175	0.51	TP_16_OM	3	1	OM	45175	O_Horizon	45201	NORM	NA	0.114638448	373.53	NA	19.6338	0.9188	NA	NA
ASCC172_11_72_0923_TP_1C	Sample172	TP	11	TP_72_OM	72	OM	45175	0.2	TP_72_OM	11	3	OM	45175	O_Horizon	45190	NORM	NA	0.081525393	174.28	NA	34.6309	1.4156	NA	NA
ASCC173_5_33_0923_TP_1C	Sample173	TP	5	TP_33_OM	33	OM	45175	0.58	TP_33_OM	5	2	OM	45175	O_Horizon	45190	NORM	NA	0.088313273	436.86	NA	20.4711	0.7385	NA	NA
ASCC174_3_15_0923_TP_1C	Sample174	TP	3	TP_15_OM	15	OM	45175	0.26	TP_15_OM	3	1	OM	45175	O_Horizon	45191	NORM	NA	0.106208351	276.26	NA	28.5669	1.1869	NA	NA
ASCC175_10_67_0923_TP_1C	Sample175	TP	10	TP_67_OM	67	OM	45175	0.32	TP_67_OM	10	3	OM	45175	O_Horizon	45190	NORM	NA	0.045926551	366	NA	25.4601	1.1402	NA	NA
ASCC176_8_52_0923_TP_1C	Sample176	TP	8	TP_52_OM	52	OM	45175	0.33	TP_52_OM	8	2	OM	45175	O_Horizon	45191	NORM	NA	0.135594093	204.98	NA	36.209	1.4576	NA	NA
ASCC177_14_94_0923_TP_1C	Sample177	TP	14	TP_94_OM	94	OM	45174	0.34	TP_94_OM	14	4	OM	45174	O_Horizon	45191	NORM	NA	0.150429296	732.93	NA	24.164	1.0637	NA	NA
ASCC178_4_26_0923_TP_1C	Sample178	TP	4	TP_26_OM	26	OM	45175	0.36	TP_26_OM	4	1	OM	45175	O_Horizon	45191	NORM	NA	0.09377602	298.89	NA	39.2356	1.2422	NA	NA
ASCC179_16_110_0923_TP_1C	Sample179	TP	16	TP_110_OM	110	OM	45174	0.2	TP_110_OM	16	4	OM	45174	O_Horizon	45204	NORM	NA	0.085034918	424.48	NA	34.9216	1.2814	NA	NA
ASCC18_C3_5_0923_SJ_1C_15	Sample18	SJ	C3	SJ_C3_0_5cm	5	0_5cm	45196	0.39	SJ_C3_0_5cm	C	3	0_5cm	45196	Mineral	45223	NORM	0.94	0.103638368	647.9930569	6.293	4.1742	0.2154	0.9341	0.0807
ASCC180_7_43_0923_TP_1C	Sample180	TP	7	TP_43_OM	43	OM	45175	0.3	TP_43_OM	7	2	OM	45175	O_Horizon	45191	NORM	NA	0.041409447	154.82	NA	28.5063	1.0598	NA	NA
ASCC181_11_73_0923_TP_1C	Sample181	TP	11	TP_73_OM	73	OM	45175	0.13	TP_73_OM	11	3	OM	45175	O_Horizon	45190	NORM	NA	0.130813953	203.29	NA	41.1597	1.4	NA	NA
ASCC182_1_4_0923_TP_1C	Sample182	TP	1	TP_4_OM	4	OM	45174	0.31	TP_4_OM	1	1	OM	45174	O_Horizon	45204	NORM	NA	0.071025134	81.47	NA	25.4188	1.2421	NA	NA
ASCC183_4_24_0923_TP_1C	Sample183	TP	4	TP_24_OM	24	OM	45175	0.54	TP_24_OM	4	1	OM	45175	O_Horizon	45201	NORM	NA	0.080317989	437.08	NA	23.2798	0.9444	NA	NA
ASCC184_6_39_0923_TP_1C	Sample184	TP	6	TP_39_OM	39	OM	45175	0.29	TP_39_OM	6	2	OM	45175	O_Horizon	45190	NORM	NA	0.041810066	304.12	NA	23.3588	0.8829	NA	NA
ASCC185_15_101_0923_TP_1C	Sample185	TP	15	TP_101_OM	101	OM	45174	0.18	TP_101_OM	15	4	OM	45174	O_Horizon	45204	NORM	NA	0.056073456	153.32	NA	45.1802	1.2243	NA	NA
ASCC186_9_60_0923_TP_1C	Sample186	TP	9	TP_60_OM	60	OM	45175	0.22	TP_60_OM	9	3	OM	45175	O_Horizon	45190	NORM	NA	0.239245347	366.31	NA	30.8883	1.1377	NA	NA
ASCC189_13_87_0923_TP_1C	Sample189	TP	13	TP_87_OM	87	OM	45174	0.25	TP_87_OM	13	4	OM	45174	O_Horizon	45191	NORM	NA	0.020683597	135.87	NA	19.3251	0.9832	NA	NA
ASCC19_TB2_2_0923_SJ_1C_15	Sample19	SJ	TB2	SJ_TB2_5_15cm	2	5_15cm	45195	0.5	SJ_TB2_5_15cm	TB	2	5_15cm	45195	Mineral	45222	NORM	2.08	0.249759846	659.5667179	5.638	2.885	0.144	0.4132	0.0719
ASCC190_16_111_0923_SJ_1C	Sample190	TP	16	TP_111_OM	111	OM	45174	0.26	TP_111_OM	16	4	OM	45174	O_Horizon	45201	NORM	NA	0.124461085	98.79	NA	37.9207	1.3787	NA	NA
ASCC191_TB3_2_0923_SJ_1C	Sample191	SJ	TB3	SJ_TB3_OM	2	OM	45196	0.17	SJ_TB3_OM	TB	3	OM	45196	O_Horizon	45246	NORM	NA	0.377164539	485.83	NA	36.2527	1.6755	NA	NA
ASCC192_T2A_4_0923_SJ_1C	Sample192	SJ	T2A	SJ_TA2_OM	4	OM	45196	0.21	SJ_TA2_OM	TA	2	OM	45195	O_Horizon	45212	NORM	NA	0.30991426	651.63	NA	22.1774	1.3168	NA	NA
ASCC194_C1_5_0923_SJ_1C	Sample194	SJ	C1	SJ_C1_OM	5	OM	45195	0.18	SJ_C1_OM	C	1	OM	45195	O_Horizon	45244	NORM	NA	0.316258213	693.24	NA	23.334	1.3671	NA	NA
ASCC195_C2_2_0923_SJ_1C	Sample195	SJ	C2	SJ_C2_OM	2	OM	45195	0.32	SJ_C2_OM	C	2	OM	45195	O_Horizon	45212	NORM	NA	0.523556496	967.5	NA	34.1503	1.6465	NA	NA
ASCC196_T1B_3_0923_SJ_1C	Sample196	SJ	T1B	SJ_TB1_OM	3	OM	45195	0.21	SJ_TB1_OM	TB	1	OM	45195	O_Horizon	45246	NORM	NA	0.397687261	570.71	NA	28.9579	1.3185	NA	NA
ASCC198_T1C_6_0923_SJ_1C	Sample198	SJ	T1C	SJ_TC1_OM	6	OM	45195	0.18	SJ_TC1_OM	TC	1	OM	45195	O_Horizon	45244	NORM	NA	0.433282454	614.4	NA	32.4629	1.454	NA	NA
ASCC2_T1A_6_0923_SJ_1C_15	Sample2	SJ	T1A	SJ_TA1_5_15cm	6	5_15cm	45195	0.45	SJ_TA1_5_15cm	TA	1	5_15cm	45195	Mineral	45239	NORM	1.474	0.163777778	561.2239832	7.657	3.7772	0.2363	0	0
ASCC20_T3A_6_0923_SJ_1C_5	Sample20	SJ	T3A	SJ_TA3_0_5cm	6	0_5cm	45196	0.56	SJ_TA3_0_5cm	TA	3	0_5cm	45196	Mineral	45223	NORM	0.8	0.086767896	1176.286128	6.68	4.3096	0.2055	0.3796	0.1129
ASCC201_TB2_4_0923_SJ_1C	Sample201	SJ	TB2	SJ_TB2_OM	4	OM	45195	0.15	SJ_TB2_OM	TB	2	OM	45195	O_Horizon	45246	NORM	NA	0.31481033	959.4	NA	29.9266	1.4451	NA	NA
ASCC202_C4_6_0923_SJ_1C	Sample202	SJ	C4	SJ_C4_OM	6	OM	45197	0.11	SJ_C4_OM	C	4	OM	45194	O_Horizon	45246	NORM	NA	0.258958243	881.5	NA	19.0096	1.28	NA	NA
ASCC203_C3_4_0923_SJ_1C	Sample203	SJ	C3	SJ_C3_OM	4	OM	45196	0.32	SJ_C3_OM	C	3	OM	45196	O_Horizon	45212	NORM	NA	0.089994933	564.12	NA	40.3262	1.5891	NA	NA
ASCC204_T4A_4_0923_SJ_1C	Sample204	SJ	T4A	SJ_TA4_OM	4	OM	45194	0.19	SJ_TA4_OM	TA	4	OM	45197	O_Horizon	45244	NORM	NA	0.325789731	583.44	NA	25.4968	1.3839	NA	NA
ASCC205_C2_5_0923_SJ_1C	Sample205	SJ	C2	SJ_C2_OM	5	OM	45195	0.26	SJ_C2_OM	C	2	OM	45195	O_Horizon	45212	NORM	NA	0.523556496	967.5	NA	34.1503	1.6465	NA	NA
ASCC206_T4B_4_0923_SJ_1C	Sample206	SJ	T4B	SJ_TB4_OM	4	OM	45194	0.15	SJ_TB4_OM	TB	4	OM	45194	O_Horizon	45247	NORM	NA	0.205850594	458.46	NA	26.5462	1.5498	NA	NA
ASCC207_T3A_6_0923_SJ_1C	Sample207	SJ	T3A	SJ_TA3_OM	6	OM	45196	0.39	SJ_TA3_OM	TA	3	OM	45196	O_Horizon	45246	NORM	NA	0.564725215	434.37	NA	33.2772	1.64	NA	NA
