Sample_ID	Full_name_old	Plot	combo	Block_Unit	Depth	Date	samples	Weight (g)	combo	Unit	Block	Depth	Sampling Date	Soil Horizon	Date Processed	Sample Type	Water  (g)	Water Content [(w_d)/d]  (g/g)	Total Sample Dry Weight (g)	Soil pH	C (%)	N (%)	NH4_N (mg/L)	NO3_N(mg/L)	Notes		OTUID	D												
ASCC_22	SJ	TB3	SJ_TB3_5-15cm	5	5_15cm	9/27/23	ASCC22_TB3_5_0923_SJ_1C_15	0.61	SJ_TB3_5-15cm	TB	3	5-15cm	9/27/23	Mineral	10/24/23	NORM	1.616	0.183845279	196.0729195	5.824	2.549	0.1188	0.7102	0.0784			ASCC	121							6	38	923	TP	1C	5
ASCC_23	SJ	C4	SJ_C4_5-15cm	4	5_15cm	9/25/23	ASCC23_C4_4_0923_SJ_1C_15	0.43	SJ_C4_5-15cm	C	4	5-15cm	9/28/23	Mineral	10/31/23	NORM	0.82	0.089033659	865.6757228	7.972	3.9922	0.2126	0	0			ASCC	123							2	12	923	TP	1C	15
ASCC_24	SJ	TB3	SJ_TB3_0-5cm	3	0-5cm	9/26/23	ASCC24_TB3_3_0923_SJ_1C_5	0.53	SJ_TB3_0-5cm	TB	3	0-5cm	9/27/23	Mineral	10/24/23	NORM	1.59	0.18973747	609.7479639	6.217	3.6398	0.2947	0.7141	0.0843			ASCC	124							4	24	923	TP	1C	15
ASCC_25	SJ	TC3	SJ_TC3_0-5cm	3	0-5cm	9/27/23	ASCC25_T3C_3_0923_SJ_1C_5	0.34	SJ_TC3_0-5cm	TC	3	0-5cm	9/27/23	Mineral	11/10/23	NORM	1.348	0.147161572	907.1084888	6.546	4.8052	0.2181	0	0			ASCC	125							14	97	923	TP	1C	5
ASCC_26	SJ	C4	SJ_C4_5-15cm	6	5_15cm	9/28/23	ASCC26_C4_6_0923_SJ_1C_15	0.5	SJ_C4_5-15cm	C	4	5-15cm	9/28/23	Mineral	10/31/23	NORM	0.82	0.089033659	865.6757228	7.972	3.9922	0.2126	0	0			ASCC	126							6	39	923	TP	1C	15
ASCC_27	SJ	T1A	SJ_TA1_0-5cm	3	0-5cm	9/26/23	ASCC27_T1A_3_0923_SJ_1C_5	0.32	SJ_TA1_0-5cm	TA	1	0-5cm	9/26/23	Mineral	11/9/23	NORM	1.04	0.116201117	771.5007508	6.99	3.3926	0.3452	0	0			ASCC	127							5	32	923	TP	1C	5
ASCC_28	SJ	C1	SJ_C1_5-15cm	5	5_15cm	9/26/23	ASCC28_C1_5_0923_SJ_1C_15	0.63	SJ_C1_5-15cm	C	1	5-15cm	9/26/23	Mineral	10/23/23	NORM	1.22	0.139110604	675.7464965	6.561	4.5979	0.2215	1.1381	0.0647			ASCC	128							15	100	923	TP	1C	15
ASCC_29	SJ	C3	SJ_C3_0-5cm	3	0-5cm	9/27/23	ASCC29_C3_3_0923_SJ_1C_15	0.5	SJ_C3_0-5cm	C	3	0-5cm	9/27/23	Mineral	10/24/23	NORM	0.94	0.103638368	647.9930569	6.293	4.1742	0.2154	0.9341	0.0807			ASCC	129							13	87	923	TP	1C	5
ASCC_30	SJ	T1A	SJ_TA1_5-15cm	2	5_15cm	9/26/23	ASCC30_T1A_2_0923_SJ_1C_15	0.56	SJ_TA1_5-15cm	TA	1	5-15cm	9/26/23	Mineral	11/9/23	NORM	1.474	0.163777778	561.2239832	7.657	3.7772	0.2363	0	0			ASCC	13							T3A	4	923	SJ	1C	5
ASCC_31	SJ	T4B	SJ_TB4_0-5cm	5	0-5cm	9/28/23	ASCC31_T4B_5_0923_SJ_1C_5	0.37	SJ_TB4_0-5cm	TB	4	0-5cm	9/28/23	Mineral	10/24/23	NORM	1.47	0.171728972	387.5042871	5.683	4.3277	0.337	2.6283	0.0753			ASCC	130							4	26	923	TP	1C	15
ASCC_32	SJ	C3	SJ_C3_5-15cm	5	5_15cm	9/27/23	ASCC32_C3_5_0923_SJ_1C_15	0.57	SJ_C3_5-15cm	C	3	5-15cm	9/27/23	Mineral	10/24/23	NORM	0.65	0.069742489	940.6469408	7.222	1.8771	0.0993	0.502	6.187			ASCC	131							5	33	923	TP	1C	5
ASCC_33	SJ	T2C	SJ_TC2_0-5cm	7	0-5cm	9/27/23	ASCC33_T2C_7_0923_SJ_1_ 5	0.43	SJ_TC2_0-5cm	TC	2	0-5cm	9/27/23	Mineral	10/24/23	NORM	0.76	0.081984898	641.423001	6.848	4.6641	0.2179	0.364	0.0893			ASCC	132							1	4	923	TP	1C	5
ASCC_34	SJ	TB2	SJ_TB2_0-5cm	4	0-5cm	9/26/23	ASCC34_TB2_4_0923_SJ_1C_5	0.42	SJ_TB2_0-5cm	TB	2	0-5cm	9/26/23	Mineral	10/23/23	NORM	1.66	0.19832736	559.0041775	6.628	3.8751	0.3075	0.3697	0.071			ASCC	133							2	12	923	TP	1C	15
ASCC_35	SJ	T4C	SJ_TC4_0-5cm	6	0-5cm	9/28/23	ASCC35_T4C_6_0923_SJ_1C_5	0.6	SJ_TC4_0-5cm	TC	4	0-5cm	9/28/23	Mineral	11/7/23	NORM	0.9	0.098684211	890.3832335	8.213	3.7414	0.3687	0	0			ASCC	134							10	67	923	TP	1C	15
ASCC_36	SJ	T2A	SJ_TA2_0-5cm	4	0-5cm	9/26/23	ASCC36_T2A_4_0923_SJ_1C_5	0.5	SJ_TA2_0-5cm	TA	2	0-5cm	9/26/23	Mineral	10/25/23	NORM	1.12	0.125560538	510.3856972	7.441	3.3322	0.1997	0.4393	0.0915			ASCC	136							4	26	923	TP	1C	5
ASCC_37	SJ	T1B	SJ_TB1_0-5cm	5	0-5cm	9/26/23	ASCC37_T1B_5_0923_SJ_1C_5	0.39	SJ_TB1_0-5cm	TB	1	0-5cm	9/26/23	Mineral	11/10/23	NORM	0.94	0.103867403	568.1841842	7.392	4.0209	0.2145	3.7138	0.1399			ASCC	137							6	38	923	TP	1C	15
ASCC_38	SJ	T1B	SJ_TB1_5-15cm	5	5_15cm	9/26/23	ASCC38_T1B_5_0923_SJ_1 C_15	0.48	SJ_TB1_5-15cm	TB	1	5-15cm	9/26/23	Mineral	11/10/23	NORM	0.85	0.092997812	654.9418418	7.417	3.8035	0.2612	0	0			ASCC	138							2	13	923	TP	1C	15
ASCC_39	SJ	T3A	SJ_TA3_0-5cm	5	0-5cm	9/27/23	ASCC39_T3A_5_0923_SJ_1C_5	0.8	SJ_TA3_0-5cm	TA	3	0-5cm	9/27/23	Mineral	10/24/23	NORM	0.8	0.086767896	1176.286128	6.68	4.3096	0.2055	0.3796	0.1129			ASCC	139							14	94	923	TP	1C	5
ASCC_40	SJ	T3A	SJ_TA3_5-15cm	4	5_15cm	9/27/23	ASCC40_T3A_4_0923_SJ_1C_15	0.62	SJ_TA3_5-15cm	TA	3	5-15cm	9/27/23	Mineral	10/24/23	NORM	0.78	0.084598698	1064.9561	6.683	4.6085	0.2541	0.4435	0.0805			ASCC	14							C1	2	923	SJ	1C	5
ASCC_41	SJ	TC3	SJ_TC3_5-15cm	5	5_15cm	9/27/23	ASCC41_TC3_5_0923 SJ 1C 15	0.57	SJ_TC3_5-15cm	TC	3	5-15cm	9/27/23	Mineral	11/10/23	NORM	1.454	0.16030871	793.1509882	7.416	1.8506	0.106	0	0			ASCC	140							5	33	923	TP	1C	15
ASCC_42	SJ	TC3	SJ_TC3_5-15cm	3	5_15cm	9/27/23	ASCC42_T3C_3_0923_SJ_1C 15	0.47	SJ_TC3_5-15cm	TC	3	5-15cm	9/27/23	Mineral	11/10/23	NORM	1.454	0.16030871	793.1509882	7.416	1.8506	0.106	0	0			ASCC	141							7	43	923	TP	1C	15
ASCC_43	SJ	T1C	SJ_TC1_5-15cm	3	5_15cm	9/26/23	ASCC43_T1C_3_0923_SJ 1C 15	0.54	SJ_TC1_5-15cm	TC	1	5-15cm	9/26/23	Mineral	11/10/23	NORM	0.84	0.091603053	659.5437762	7.43	4.2984	0.2533	0	0			ASCC	142							9	58	923	TP	1C	15
ASCC_44	SJ	C4	SJ_C4_5-15cm	3	5_15cm	9/25/23	ASCC44_C4_3_0923_SJ_1C_15	0.63	SJ_C4_5-15cm	C	4	5-15cm	9/28/23	Mineral	10/31/23	NORM	0.82	0.089033659	865.6757228	7.972	3.9922	0.2126	0	0			ASCC	143							1	3	923	TP	1C	5
ASCC_45	SJ	TB3	SJ_TB3_0-5cm	2	0-5cm	9/27/23	ASCC45_TB3_2_0923_SJ_1C 5	0.45	SJ_TB3_0-5cm	TB	3	0-5cm	9/27/23	Mineral	10/24/23	NORM	1.59	0.18973747	609.7479639	6.217	3.6398	0.2947	0.7141	0.0843			ASCC	145							15	101	923	TP	1C	15
ASCC_46	SJ	C4	SJ_C4_0-5cm	6	0-5cm	9/28/23	ASCC46_C4_6_0923_SJ_1C_5	0.38	SJ_C4_0-5cm	C	4	0-5cm	9/28/23	Mineral	10/31/23	NORM	1	0.110864745	594.6628543	7.788	3.7271	0.1829	0	0			ASCC	146							12	82	923	TP	1C	15
ASCC_47	SJ	TC3	SJ_TC3_0-5cm	5	0-5cm	9/27/23	ASCC47_T3C_5_0923_SJ_1C_5	0.53	SJ_TC3_0-5cm	TC	3	0-5cm	9/27/23	Mineral	11/10/23	NORM	1.348	0.147161572	907.1084888	6.546	4.8052	0.2181	0	0			ASCC	148							10	67	923	TP	1C	5
ASCC_48	SJ	T4A	SJ_TA4_5-15cm	4	5_15cm	9/25/23	ASCC48_T4A_4_0923_SJ_1 C_15	0.42	SJ_TA4_5-15cm	TA	4	5-15cm	9/28/23	Mineral	11/7/23	NORM	1.06	0.118568233	910.1367	7.674	3.7103	0.2864	0	0			ASCC	149							3	16	923	TP	1C	5
ASCC_49	SJ	T4A	SJ_TA4_0-5cm	3	0-5cm	9/25/23	ASCC49_T4A_3_0923_SJ_1C_5	0.36	SJ_TA4_0-5cm	TA	4	0-5cm	9/28/23	Mineral	11/10/23	NORM	1.4	0.163551402	672.7850602	7.418	3.2942	0.3046	0	0			ASCC	15							T3C	4	923	SJ	1C	5
ASCC_50	SJ	C3	SJ_C3_5-15cm	4	5_15cm	9/27/23	ASCC50_C3_4_0923_SJ_1C_15	0.56	SJ_C3_5-15cm	C	3	5-15cm	9/27/23	Mineral	10/24/23	NORM	0.65	0.069742489	940.6469408	7.222	1.8771	0.0993	0.502	6.187			ASCC	150							9	58	923	TP	1C	5
ASCC_51	SJ	TB2	SJ_TB2_0-5cm	3	0-5cm	9/26/23	ASCC51_TB2_3_0923_SJ_1C_5	0.27	SJ_TB2_0-5cm	TB	2	0-5cm	9/26/23	Mineral	10/23/23	NORM	1.66	0.19832736	559.0041775	6.628	3.8751	0.3075	0.3697	0.071			ASCC	151							9	60	923	TP	1C	15
ASCC_52	SJ	T4A	SJ_TA4_5-15cm	6	5_15cm	9/28/23	ASCC52_T4A_6_0923_SJ_1C_15	0.42	SJ_TA4_5-15cm	TA	4	5-15cm	9/28/23	Mineral	11/7/23	NORM	1.06	0.118568233	910.1367	7.674	3.7103	0.2864	0	0			ASCC	152							7	44	923	TP	1C	5
ASCC_53	SJ	TB3	SJ_TB3_0-5cm	5	0-5cm	9/27/23	ASCC53_TB3_5_0923_SJ_1C_5	0.39	SJ_TB3_0-5cm	TB	3	0-5cm	9/27/23	Mineral	10/24/23	NORM	1.59	0.18973747	609.7479639	6.217	3.6398	0.2947	0.7141	0.0843			ASCC	153							13	87	923	TP	1C	15
ASCC_54	SJ	TB3	SJ_TB3_0-5cm	6	0-5cm	9/27/23	ASCC54_TB3_6_0923_SJ_1C_5	0.31	SJ_TB3_0-5cm	TB	3	0-5cm	9/27/23	Mineral	10/24/23	NORM	1.59	0.18973747	609.7479639	6.217	3.6398	0.2947	0.7141	0.0843			ASCC	154							15	101	923	TP	1C	5
ASCC_55	SJ	TB3	SJ_TB3_5-15cm	6	5_15cm	9/27/23	ASCC55_TB3_6_0923_SJ_1C_15	0.62	SJ_TB3_5-15cm	TB	3	5-15cm	9/27/23	Mineral	10/24/23	NORM	1.616	0.183845279	196.0729195	5.824	2.549	0.1188	0.7102	0.0784			ASCC	155							13	88	923	TP	1C	5
ASCC_56	SJ	C2	SJ_C2_0-5cm	2	0-5cm	9/26/23	ASCC56_C2_2_0923_SJ_1C_5	0.31	SJ_C2_0-5cm	C	2	0-5cm	9/26/23	Mineral	10/23/23	NORM	2.074	0.241724942	636.9365497	6.303	2.6822	0.1787	0.4332	0.0739			ASCC	156							8	52	923	TP	1C	15
ASCC_57	SJ	T1C	SJ_TC1_0-5cm	6	0-5cm	9/26/23	ASCC57_T1C_6_0923_SJ_1C_5	0.29	SJ_TC1_0-5cm	TC	1	0-5cm	9/26/23	Mineral	11/9/23	NORM	0.81	0.088331516	561.2995591	7.682	2.947	0.1496	0	0			ASCC	157							13	88	923	TP	1C	15
ASCC_58	SJ	T1C	SJ_TC1_5-15cm	4	5_15cm	9/26/23	ASCC58_T1C_4_0923_SJ_1C_15	0.65	SJ_TC1_5-15cm	TC	1	5-15cm	9/26/23	Mineral	11/10/23	NORM	0.84	0.091603053	659.5437762	7.43	4.2984	0.2533	0	0			ASCC	15						15	158	1	3	923	TP	1C
ASCC_59	SJ	T4C	SJ_TC4_5-15cm	6	5_15cm	9/28/23	ASCC59_T4C_6_0923_SJ_1C_15	0.78	SJ_TC4_5-15cm	TC	4	5-15cm	9/28/23	Mineral	10/31/23	NORM	0.73	0.078833693	951.5368368	7.96	2.7488	0.1544	0	0			ASCC	159							12	84	923	TP	1C	5
ASCC_60	SJ	T4C	SJ_TC4_5-15cm	4	5_15cm	9/25/23	ASCC60_T4C_4_0923_SJ_1C_15	0.53	SJ_TC4_5-15cm	TC	4	5-15cm	9/28/23	Mineral	10/31/23	NORM	0.73	0.078833693	951.5368368	7.96	2.7488	0.1544	0	0			ASCC	16							T3B	2	923	SJ	1C	5
ASCC_61	SJ	T4C	SJ_TC4_0-5cm	4	0-5cm	9/25/23	ASCC61_T4C_4_0923_SJ_1C_5	0.47	SJ_TC4_0-5cm	TC	4	0-5cm	9/28/23	Mineral	11/7/23	NORM	0.9	0.098684211	890.3832335	8.213	3.7414	0.3687	0	0			ASCC	160							2	13	923	TP	1C	OM
ASCC_62	SJ	TC3	SJ_TC3_5-15cm	4	5_15cm	9/27/23	ASCC62_T3C_4_0923_SJ_1C_15	0.67	SJ_TC3_5-15cm	TC	3	5-15cm	9/27/23	Mineral	11/10/23	NORM	1.454	0.16030871	793.1509882	7.416	1.8506	0.106	0	0			ASCC	161							6	38	923	TP	1C	OM2
ASCC_63	SJ	T1C	SJ_TC1_0-5cm	3	0-5cm	9/26/23	ASCC63_TIC_3_0923_SJ_1C_5	0.46	SJ_TC1_0-5cm	TC	1	0-5cm	9/26/23	Mineral	11/9/23	NORM	0.81	0.088331516	561.2995591	7.682	2.947	0.1496	0	0			ASCC	162							1	3	923	TP	1C	OM
ASCC_64	SJ	T2A	SJ_TA2_5-15cm	3	5_15cm	9/27/23	ASCC64_T2A_3_0923_SJ_1C_15	0.54	SJ_TA2_5-15cm	TA	2	5-15cm	9/26/23	Mineral	11/7/23	NORM	0.84	0.0914037	742.7590728	7.886	3.8272	0.221	0	0			ASCC	163							13	88	923	TP	1C	OM
ASCC_65	SJ	T2A	SJ_TA2_5-15cm	5	5_15cm	9/26/23	ASCC65_T2A_5_0923_SJ_1C_15	0.49	SJ_TA2_5-15cm	TA	2	5-15cm	9/26/23	Mineral	11/7/23	NORM	0.84	0.0914037	742.7590728	7.886	3.8272	0.221	0	0			ASCC	164							2	12	923	TP	1C	OM
ASCC_66	SJ	TB3	SJ_TB3_5-15cm	2	5_15cm	9/27/23	ASCC66_TB3_2_0923_SJ_1C_15	0.72	SJ_TB3_5-15cm	TB	3	5-15cm	9/27/23	Mineral	10/24/23	NORM	1.616	0.183845279	196.0729195	5.824	2.549	0.1188	0.7102	0.0784			ASCC	165							7	44	923	TP	1C	OM
ASCC_67	SJ	T2A	SJ_TA2_5-15cm	4	5_15cm	9/26/23	ASCC67_T2A_4_0923_SJ_1C_15	0.5	SJ_TA2_5-15cm	TA	2	5-15cm	9/26/23	Mineral	11/7/23	NORM	0.84	0.0914037	742.7590728	7.886	3.8272	0.221	0	0			ASCC	166							5	32	923	TP	1C	OM
ASCC_68	SJ	T4C	SJ_TC4_5-15cm	5	5_15cm	9/25/23	ASCC68_T4C_5_0923_SJ_1C_15	0.5	SJ_TC4_5-15cm	TC	4	5-15cm	9/28/23	Mineral	10/31/23	NORM	0.73	0.078833693	951.5368368	7.96	2.7488	0.1544	0	0			ASCC	167							15	100	923	TP	1C	OM
ASCC_69	SJ	C2	SJ_C2_0-5cm	5	0-5cm	9/26/23	ASCC69_C2_5_0923_SJ_1C_5	0.46	SJ_C2_0-5cm	C	2	0-5cm	9/26/23	Mineral	10/23/23	NORM	2.074	0.241724942	636.9365497	6.303	2.6822	0.1787	0.4332	0.0739			ASCC	168							10	68	923	TP	1C	OM
ASCC_70	SJ	T4B	SJ_TB4_5-15cm	4	5_15cm	9/25/23	ASCC70_T4B_4_0923_SJ 1C 15	0.5	SJ_TB4_5-15cm	TB	4	5-15cm	9/25/23	Mineral	11/9/23	NORM	1.518	0.168854283	410.2307766	7.522	5.4406	0.2416	0	0			ASCC	169							14	97	923	TP	1C	OM
ASCC_71	SJ	T1B	SJ_TB1_5-15cm	3	5_15cm	9/26/23	ASCC71_TIB_3_0923_SJ 1C 15	0.44	SJ_TB1_5-15cm	TB	1	5-15cm	9/26/23	Mineral	11/10/23	NORM	0.85	0.092997812	654.9418418	7.417	3.8035	0.2612	0	0			ASCC	17							T4A	3	923	SJ	1C	15
ASCC_72	SJ	T4C	SJ_TC4_0-5cm	5	0-5cm	9/25/23	ASCC72_T4C_5_0923_SJ_1C 5	0.44	SJ_TC4_0-5cm	TC	4	0-5cm	9/28/23	Mineral	11/7/23	NORM	0.9	0.098684211	890.3832335	8.213	3.7414	0.3687	0	0			ASCC	170							12	82	923	TP	1C	OM
ASCC_73	SJ	T2C	SJ_TC2_0-5cm	3	0-5cm	9/27/23	ASCC73_T2C_3_0923_SJ_1C 5	0.41	SJ_TC2_0-5cm	TC	2	0-5cm	9/27/23	Mineral	10/24/23	NORM	0.76	0.081984898	641.423001	6.848	4.6641	0.2179	0.364	0.0893			ASCC	171							3	16	923	TP	1C	OM
ASCC_74	SJ	C1	SJ_C1_0-5cm	4	0-5cm	9/26/23	ASCC74_C1_4_0923_SJ_1C 5	0.49	SJ_C1_0-5cm	C	1	0-5cm	9/26/23	Mineral	10/23/23	NORM	1.38	0.159537572	607.4663011	6.803	3.7215	0.2614	1.0409	0.0657			ASCC	172							11	72	923	TP	1C	OM
ASCC_75	SJ	TB2	SJ_TB2_0-5cm	6	0-5cm	9/26/23	ASCC75_TB2_6_0923_SJ_1C_5	0.59	SJ_TB2_0-5cm	TB	2	0-5cm	9/26/23	Mineral	10/23/23	NORM	1.66	0.19832736	559.0041775	6.628	3.8751	0.3075	0.3697	0.071			ASCC	173							5	33	923	TP	1C	OM
ASCC_76	SJ	C1	SJ_C1_5-15cm	2	5_15cm	9/26/23	ASCC76_C1_2_0923_SJ_1C_15	0.54	SJ_C1_5-15cm	C	1	5-15cm	9/26/23	Mineral	10/23/23	NORM	1.22	0.139110604	675.7464965	6.561	4.5979	0.2215	1.1381	0.0647			ASCC	174							3	15	923	TP	1C	OM
ASCC_77	SJ	C4	SJ_C4_0-5cm	4	0-5cm	9/25/23	ASCC 77_C4_4_0923_SJ 1C 5	0.58	SJ_C4_0-5cm	C	4	0-5cm	9/28/23	Mineral	10/31/23	NORM	1	0.110864745	594.6628543	7.788	3.7271	0.1829	0	0			ASCC	175							10	67	923	TP	1C	OM
ASCC_78	SJ	C4	SJ_C4_0-5cm	3	0-5cm	9/25/23	ASCC78_C4_3_0923_SJ_1C_5	0.6	SJ_C4_0-5cm	C	4	0-5cm	9/28/23	Mineral	10/31/23	NORM	1	0.110864745	594.6628543	7.788	3.7271	0.1829	0	0			ASCC	176							8	52	923	TP	1C	OM
